Technical Analysis: RSI__|,Technical Analysis: RSI__|__RSI
6/29/18,46.0404
6/28/18,47.0709
6/27/18,43.0007
6/26/18,43.6284
6/25/18,36.4138
6/22/18,42.5697
6/21/18,43.9237
6/20/18,46.5727
6/19/18,44.1361
6/18/18,52.5092
6/15/18,52.8142
6/14/18,59.0585
6/13/18,58.8279
6/12/18,64.1275
6/11/18,62.0159
6/8/18,63.5712
6/7/18,69.6448
6/6/18,71.5195
6/5/18,70.5718
6/4/18,68.416
6/1/18,65.9259
5/31/18,59.6678
5/30/18,61.6328
5/29/18,62.8531
5/25/18,64.881
5/24/18,64.2029
5/23/18,64.7701
5/22/18,63.0373
5/21/18,64.1855
5/18/18,62.3995
5/17/18,63.9244
5/16/18,66.5678
5/15/18,64.579
5/14/18,68.2859
5/11/18,69.2355
5/10/18,72.3125
5/9/18,70.0262
5/8/18,68.8591
5/7/18,68.0749
5/4/18,66.9188
5/3/18,59.8794
5/2/18,59.5105
5/1/18,49.432
4/30/18,42.6135
4/27/18,36.529
4/26/18,39.0111
4/25/18,37.8344
4/24/18,36.4155
4/23/18,39.1001
4/20/18,39.6668
4/19/18,49.4913
4/18/18,59.1801
4/17/18,60.0464
4/16/18,56.4663
4/13/18,54.7713
4/12/18,53.8685
4/11/18,51.2658
4/10/18,52.5782
4/9/18,47.6629
4/6/18,44.8951
4/5/18,51.602
4/4/18,49.7243
4/3/18,44.2941
4/2/18,41.1602
3/29/18,42.5915
3/28/18,40.3138
3/27/18,42.557
3/26/18,48.5289
3/23/18,33.1274
3/22/18,38.4643
3/21/18,42.389
3/20/18,50.1901
3/19/18,50.32
3/16/18,56.4761
3/15/18,58.0022
3/14/18,57.648
3/13/18,61.1366
3/12/18,65.336
3/9/18,62.9888
3/8/18,58.4214
3/7/18,55.1955
3/6/18,58.8349
3/5/18,59.1663
3/2/18,58.279
3/1/18,56.5397
2/28/18,62.8092
2/27/18,63.3739
2/26/18,64.5312
2/23/18,60.5267
2/22/18,56.5923
2/21/18,54.5889
2/20/18,55.8955
2/16/18,56.8348
2/15/18,57.7042
2/14/18,50.6726
