Technical Analysis: MACD__|,Technical Analysis: MACD__|__MACD_Signal,Technical Analysis: MACD__|__MACD,Technical Analysis: MACD__|__MACD_Hist
6/29/18,0.3469,-0.4736,-0.8205
6/28/18,0.552,-0.421,-0.973
6/27/18,0.7952,-0.3875,-1.1827
6/26/18,1.0909,-0.2026,-1.2936
6/25/18,1.4143,0.0088,-1.4056
6/22/18,1.7657,0.5086,-1.2571
6/21/18,2.08,0.8591,-1.2209
6/20/18,2.3852,1.2391,-1.1461
6/19/18,2.6717,1.6001,-1.0716
6/18/18,2.9396,2.1201,-0.8195
6/15/18,3.1445,2.4424,-0.7021
6/14/18,3.3201,2.8081,-0.5119
6/13/18,3.448,3.0345,-0.4135
6/12/18,3.5514,3.2895,-0.2619
6/11/18,3.6169,3.4062,-0.2107
6/8/18,3.6696,3.6125,-0.057
6/7/18,3.6838,3.7755,0.0917
6/6/18,3.6609,3.7494,0.0884
6/5/18,3.6388,3.6085,-0.0303
6/4/18,3.6464,3.4445,-0.2018
6/1/18,3.6968,3.3358,-0.3611
5/31/18,3.7871,3.3104,-0.4767
5/30/18,3.9063,3.5729,-0.3334
5/29/18,3.9896,3.7918,-0.1978
5/25/18,4.0391,3.9754,-0.0637
5/24/18,4.055,4.0826,0.0276
5/23/18,4.0481,4.2039,0.1558
5/22/18,4.0092,4.2762,0.267
5/21/18,3.9424,4.4284,0.486
5/18/18,3.8209,4.5105,0.6896
5/17/18,3.6485,4.684,1.0355
5/16/18,3.3897,4.7681,1.3784
5/15/18,3.0451,4.6849,1.6398
5/14/18,2.6351,4.6877,2.0526
5/11/18,2.122,4.449,2.3271
5/10/18,1.5402,4.0349,2.4947
5/9/18,0.9165,3.3,2.3835
5/8/18,0.3206,2.5868,2.2662
5/7/18,-0.2459,1.7723,2.0182
5/4/18,-0.7505,0.7976,1.548
5/3/18,-1.1375,-0.3228,0.8147
5/2/18,-1.3412,-1.0414,0.2998
5/1/18,-1.4161,-1.9109,-0.4948
4/30/18,-1.2924,-2.2323,-0.9399
4/27/18,-1.0574,-2.2191,-1.1617
4/26/18,-0.767,-1.8706,-1.1036
4/25/18,-0.4911,-1.5921,-1.101
4/24/18,-0.2159,-1.1554,-0.9395
4/23/18,0.019,-0.5089,-0.5279
4/20/18,0.151,0.0895,-0.0614
4/19/18,0.1663,0.8031,0.6368
4/18/18,0.0071,0.9813,0.9742
4/17/18,-0.2365,0.6814,0.9179
4/16/18,-0.4659,0.2479,0.7138
4/13/18,-0.6444,-0.0625,0.5818
4/12/18,-0.7898,-0.3469,0.4429
4/11/18,-0.9006,-0.6448,0.2558
4/10/18,-0.9645,-0.8425,0.122
4/9/18,-0.995,-1.1651,-0.1701
4/6/18,-0.9525,-1.234,-0.2816
4/5/18,-0.8821,-1.1341,-0.252
4/4/18,-0.8191,-1.44,-0.6209
4/3/18,-0.6638,-1.6884,-1.0245
4/2/18,-0.4077,-1.653,-1.2453
3/29/18,-0.0964,-1.4097,-1.3133
3/28/18,0.2319,-1.1906,-1.4225
3/27/18,0.5876,-0.7613,-1.3489
3/26/18,0.9248,-0.3917,-1.3164
3/23/18,1.2539,-0.3652,-1.6191
3/22/18,1.6587,0.4711,-1.1876
3/21/18,1.9556,1.1335,-0.822
3/20/18,2.1611,1.7162,-0.4449
3/19/18,2.2723,2.0306,-0.2417
3/16/18,2.3327,2.3964,0.0636
3/15/18,2.3168,2.5514,0.2346
3/14/18,2.2582,2.648,0.3898
3/13/18,2.1607,2.7541,0.5934
3/12/18,2.0124,2.6938,0.6814
3/9/18,1.842,2.3994,0.5574
3/8/18,1.7027,2.1659,0.4632
3/7/18,1.5869,2.1459,0.559
3/6/18,1.4471,2.2836,0.8365
3/5/18,1.238,2.2593,1.0213
3/2/18,0.9827,2.18,1.1973
3/1/18,0.6833,2.1092,1.4259
2/28/18,0.3269,2.1114,1.7846
2/27/18,-0.1193,1.7659,1.8851
2/26/18,-0.5905,1.2716,1.8621
2/23/18,-1.0561,0.5632,1.6193
2/22/18,-1.4609,0.0041,1.465
2/21/18,-1.8272,-0.4041,1.4231
2/20/18,-2.1829,-0.7736,1.4094
2/16/18,-2.5353,-1.3134,1.2219
2/15/18,-2.8407,-2.0423,0.7985
2/14/18,-3.0404,-3,0.0404
2/13/18,-3.0505,-3.6065,-0.556
2/12/18,-2.9114,-4.0196,-1.1082
2/9/18,-2.6344,-4.3225,-1.6881
2/8/18,-2.2124,-4.0048,-1.7924
2/7/18,-1.7643,-3.4127,-1.6484
2/6/18,-1.3522,-3.0544,-1.7022
2/5/18,-0.9266,-2.9079,-1.9813
2/2/18,-0.4313,-2.0127,-1.5814
2/1/18,-0.0359,-1.2492,-1.2133
1/31/18,0.2674,-0.9978,-1.2651
1/30/18,0.5837,-0.6267,-1.2103
1/29/18,0.8862,-0.097,-0.9833
1/26/18,1.1321,0.4795,-0.6525
1/25/18,1.2952,0.8471,-0.4481
1/24/18,1.4072,1.3445,-0.0627
1/23/18,1.4229,1.6433,0.2204
1/22/18,1.3678,1.7136,0.3458
1/19/18,1.2814,1.7824,0.5011
1/18/18,1.1561,1.6958,0.5397
1/17/18,1.0212,1.479,0.4578
1/16/18,0.9067,1.1971,0.2904
1/12/18,0.8341,1.1162,0.282
1/11/18,0.7636,0.905,0.1414
1/10/18,0.7283,0.8067,0.0784
1/9/18,0.7087,0.7702,0.0615
1/8/18,0.6933,0.7083,0.015
1/5/18,0.6896,0.617,-0.0725
1/4/18,0.7077,0.4254,-0.2823
1/3/18,0.7783,0.3751,-0.4032
1/2/18,0.8791,0.387,-0.4921
12/29/17,1.0021,0.3934,-0.6087
12/28/17,1.1543,0.7045,-0.4498
12/27/17,1.2667,0.9028,-0.3639
12/26/17,1.3577,1.1918,-0.1659
12/22/17,1.3991,1.5463,0.1471
12/21/17,1.3624,1.5242,0.1618
12/20/17,1.3219,1.4738,0.1519
12/19/17,1.2839,1.4553,0.1714
12/18/17,1.2411,1.3912,0.1501
12/15/17,1.2035,1.0976,-0.1059
12/14/17,1.23,0.9565,-0.2735
12/13/17,1.2984,0.9406,-0.3578
12/12/17,1.3879,0.9015,-0.4863
