Technical Analysis: ROC__|,Technical Analysis: ROC__|__ROC
6/29/18,-1.9233
6/28/18,-1.7687
6/27/18,-3.4801
6/26/18,-3.2879
6/25/18,-5.258
6/22/18,-3.2997
6/21/18,-3.2551
6/20/18,-3.5976
6/19/18,-4.2736
6/18/18,-2.3641
6/15/18,-1.5587
6/14/18,0.2944
6/13/18,2.0496
6/12/18,2.5493
6/11/18,1.7722
6/8/18,1.6545
6/7/18,2.8222
6/6/18,2.9836
6/5/18,3.286
6/4/18,2.2384
6/1/18,2.1094
5/31/18,-0.0642
5/30/18,-0.3614
5/29/18,0.7831
5/25/18,0.2285
5/24/18,-0.2333
5/23/18,-0.884
5/22/18,-0.1067
5/21/18,0.8492
5/18/18,0.6211
5/17/18,1.719
5/16/18,6.3825
5/15/18,5.5899
5/14/18,11.2655
5/11/18,14.1171
5/10/18,17.0774
5/9/18,14.0909
5/8/18,13.6877
5/7/18,13.6369
5/4/18,11.2503
5/3/18,6.7403
5/2/18,2.1817
5/1/18,-4.9145
4/30/18,-7.2823
4/27/18,-7.6783
4/26/18,-6.015
4/25/18,-6.0239
4/24/18,-5.5092
4/23/18,-4.6234
4/20/18,-2.5463
4/19/18,2.625
4/18/18,2.9167
4/17/18,3.8634
4/16/18,4.4124
4/13/18,4.8296
4/12/18,3.7907
4/11/18,3.58
4/10/18,2.9167
4/9/18,-1.5743
4/6/18,2.0856
4/5/18,2.3394
4/4/18,0.1985
4/3/18,-3.9089
4/2/18,-4.9173
3/29/18,-5.7522
3/28/18,-6.8122
3/27/18,-5.6602
3/26/18,-4.0007
3/23/18,-9.234
3/22/18,-6.184
3/21/18,-3.2045
3/20/18,0.12
3/19/18,-0.7755
3/16/18,0.6787
3/15/18,1.3847
3/14/18,1.9657
3/13/18,1.0386
3/12/18,1.8667
3/9/18,0.5643
3/8/18,0.8205
3/7/18,1.4667
3/6/18,3.2735
3/5/18,2.8921
3/2/18,2.1922
3/1/18,1.1619
2/28/18,6.4229
2/27/18,8.5493
2/26/18,9.9932
2/23/18,12.2051
2/22/18,11.1827
2/21/18,7.227
2/20/18,5.41
2/16/18,10.186
2/15/18,7.7819
2/14/18,-0.2444
2/13/18,-1.8455
2/12/18,-2.5514
2/9/18,-6.8766
2/8/18,-9.5388
2/7/18,-6.7617
2/6/18,-6.4229
2/5/18,-11.6075
2/2/18,-9.322
2/1/18,-5.9845
1/31/18,-6.5994
1/30/18,-6.7728
1/29/18,-4.6711
1/26/18,-3.1509
1/25/18,-2.3791
1/24/18,-0.0402
1/23/18,1.5545
1/22/18,1.5199
1/19/18,1.9771
1/18/18,3.6005
1/17/18,3.9889
1/16/18,2.2814
1/12/18,4.6446
1/11/18,2.455
1/10/18,2.163
1/9/18,2.2044
1/8/18,-0.3771
1/5/18,-0.0057
1/4/18,-0.7571
1/3/18,-1.3235
1/2/18,-2.358
