Technical Analysis: RSI__|,Technical Analysis: RSI__|__RSI
2018-06-29,53.9004
2018-06-28,54.0281
2018-06-27,53.6547
2018-06-26,53.7417
2018-06-25,53.1112
2018-06-22,53.9979
2018-06-21,54.1737
2018-06-20,54.5121
2018-06-19,54.2919
2018-06-18,55.2895
2018-06-15,55.3225
2018-06-14,55.9706
2018-06-13,55.9445
2018-06-12,56.4675
2018-06-11,56.1981
2018-06-08,56.3526
2018-06-07,56.933
2018-06-06,57.105
2018-06-05,56.9391
2018-06-04,56.5716
2018-06-01,56.1738
2018-05-31,55.315
2018-05-30,55.5164
2018-05-29,55.6437
2018-05-25,55.8593
2018-05-24,55.7519
2018-05-23,55.8176
2018-05-22,55.5214
2018-05-21,55.6661
2018-05-18,55.3426
2018-05-17,55.5493
2018-05-16,55.9112
2018-05-15,55.4915
2018-05-14,56.0102
2018-05-11,56.1439
2018-05-10,56.5846
2018-05-09,55.952
2018-05-08,55.6392
2018-05-07,55.4263
2018-05-04,55.1075
2018-05-03,53.3855
2018-05-02,53.3037
2018-05-01,51.3308
2018-04-30,50.2614
2018-04-27,49.4189
2018-04-26,49.9603
2018-04-25,49.797
2018-04-24,49.594
2018-04-23,50.2453
2018-04-20,50.382
2018-04-19,52.4664
2018-04-18,54.0421
2018-04-17,54.17
2018-04-16,53.5114
2018-04-13,53.2115
2018-04-12,53.0493
2018-04-11,52.5802
2018-04-10,52.8292
2018-04-09,51.9391
2018-04-06,51.4659
2018-04-05,52.8287
2018-04-04,52.4934
2018-04-03,51.5713
2018-04-02,51.072
2018-03-29,51.4095
2018-03-28,51.0309
2018-03-27,51.6005
2018-03-26,52.9952
2018-03-23,50.6616
2018-03-22,51.9363
2018-03-21,52.7496
2018-03-20,54.1261
2018-03-19,54.1472
2018-03-16,55.1133
2018-03-15,55.3397
2018-03-14,55.2791
2018-03-13,55.8257
2018-03-12,56.4579
2018-03-09,55.9671
2018-03-08,55.0915
2018-03-07,54.5291
2018-03-06,55.1158
2018-03-05,55.1696
2018-03-02,54.9928
2018-03-01,54.6417
2018-02-28,55.752
2018-02-27,55.8492
2018-02-26,56.0571
2018-02-23,55.0665
2018-02-22,54.1824
2018-02-21,53.753
2018-02-20,54.0264
2018-02-16,54.2294
2018-02-15,54.425
2018-02-14,52.7317
2018-02-13,51.7753
2018-02-12,51.25
2018-02-09,49.1297
2018-02-08,48.6879
2018-02-07,50.1917
2018-02-06,51.4422
2018-02-05,49.089
2018-02-02,50.5768
2018-02-01,53.4907
2018-01-31,53.3628
2018-01-30,53.1954
2018-01-29,53.6055
2018-01-26,55.1138
2018-01-25,54.9725
2018-01-24,56.3379
2018-01-23,57.6227
2018-01-22,57.6091
2018-01-19,58.2838
2018-01-18,58.6564
2018-01-17,58.604
2018-01-16,57.6372
2018-01-12,58.0523
2018-01-11,57.442
2018-01-10,57.1041
2018-01-09,57.1222
2018-01-08,57.1312
2018-01-05,57.4218
2018-01-04,56.7619
2018-01-03,56.4907
2018-01-02,56.5039
2017-12-29,55.4671
2017-12-28,56.2779
2017-12-27,56.1131
2017-12-26,56.1029
2017-12-22,58.0884
2017-12-21,58.0884
2017-12-20,57.8712
2017-12-19,57.9568
2017-12-18,58.8089
2017-12-15,58.0124
2017-12-14,57.4303
2017-12-13,57.4529
2017-12-12,57.2637
2017-12-11,57.6959
2017-12-08,56.5923
2017-12-07,56.5753
2017-12-06,56.4707
2017-12-05,56.7457
2017-12-04,56.8153
2017-12-01,57.3591
2017-11-30,57.7091
2017-11-29,56.9385
2017-11-28,58.5381
2017-11-27,59.0043
2017-11-24,59.4085
2017-11-22,59.4054
2017-11-21,58.8338
2017-11-20,57.8127
2017-11-17,57.8891
2017-11-16,58.3159
2017-11-15,57.6588
2017-11-14,58.6834
2017-11-13,59.91
2017-11-10,60.2417
2017-11-09,60.8181
2017-11-08,60.99
2017-11-07,60.5516
2017-11-06,60.3789
2017-11-03,59.8352
2017-11-02,58.4179
2017-11-01,58.0103
2017-10-31,59.0197
2017-10-30,58.2435
2017-10-27,56.9669
2017-10-26,54.8678
2017-10-25,54.478
2017-10-24,54.8013
2017-10-23,54.4406
2017-10-20,54.4776
2017-10-19,54.3739
2017-10-18,56.1466
2017-10-17,56.489
2017-10-16,56.2696
2017-10-13,55.1733
2017-10-12,54.789
2017-10-11,55.0486
2017-10-10,54.798
2017-10-09,54.7749
2017-10-06,54.5686
2017-10-05,54.6097
2017-10-04,53.8798
2017-10-03,54.3327
2017-10-02,54.0766
2017-09-29,54.2159
2017-09-28,53.8974
2017-09-27,54.3204
2017-09-26,53.9095
2017-09-25,52.9132
2017-09-22,53.5056
2017-09-21,54.1779
2017-09-20,55.4092
2017-09-19,56.675
2017-09-18,56.6529
2017-09-15,57.2361
2017-09-14,56.6519
2017-09-13,57.3156
2017-09-12,57.9088
2017-09-11,58.2244
2017-09-08,57.1887
2017-09-07,58.5045
2017-09-06,58.8358
2017-09-05,58.9221
2017-09-01,59.9315
2017-08-31,59.9142
2017-08-30,59.6908
2017-08-29,59.5397
2017-08-28,59.0423
2017-08-25,58.4772
2017-08-24,58.2683
2017-08-23,58.6196
2017-08-22,58.5499
