Technical Analysis: WILLR__|,Technical Analysis: WILLR__|__WILLR
6/29/18,-63.9506
6/28/18,-60.7407
6/27/18,-71.7695
6/26/18,-72.5316
6/25/18,-89.3096
6/22/18,-86.3256
6/21/18,-81.3023
6/20/18,-71.6279
6/19/18,-79.1628
6/18/18,-67.7419
6/15/18,-66.5012
6/14/18,-42.1836
6/13/18,-43.4243
6/12/18,-22.7488
6/11/18,-35.1896
6/8/18,-29.6209
6/7/18,-8.7678
6/6/18,-1.2019
6/5/18,-7.7017
6/4/18,-19.1106
6/1/18,-0.3876
5/31/18,-64.3145
5/30/18,-54.4592
5/29/18,-46.8691
5/25/18,-26.6965
5/24/18,-33.1096
5/23/18,-16.4754
5/22/18,-20.1521
5/21/18,-16.5359
5/18/18,-16.1753
5/17/18,-11.8472
5/16/18,-7.3638
5/15/18,-13.2145
5/14/18,-7.4647
5/11/18,-5.9852
5/10/18,-1.1096
5/9/18,-1.1464
5/8/18,-5.9911
5/7/18,-9.2825
5/4/18,-1.7782
5/3/18,-11.1791
5/2/18,-12.9271
5/1/18,-53.7323
4/30/18,-74.7084
4/27/18,-90.7683
4/26/18,-83.0671
4/25/18,-86.2845
4/24/18,-90.292
4/23/18,-92.2541
4/20/18,-93.294
4/19/18,-42.4187
4/18/18,-7.5796
4/17/18,-4.8146
4/16/18,-3.157
4/13/18,-9.7625
4/12/18,-9.4569
4/11/18,-25.3745
4/10/18,-17.7903
4/9/18,-54.7445
4/6/18,-69.9231
4/5/18,-43.1399
4/4/18,-54.7242
4/3/18,-75.5763
4/2/18,-88.3868
3/29/18,-84.6983
3/28/18,-91.7026
3/27/18,-81.681
3/26/18,-57.8125
3/23/18,-100
3/22/18,-98.3221
3/21/18,-99.9183
3/20/18,-74.7511
3/19/18,-74.2081
3/16/18,-49.5928
3/15/18,-43.8914
3/14/18,-45.7919
3/13/18,-29.9406
3/12/18,-5.8875
3/9/18,-6.6111
3/8/18,-38.2613
3/7/18,-48.0844
3/6/18,-22.2441
3/5/18,-20.0105
3/2/18,-19.0651
3/1/18,-18.4856
2/28/18,-8.214
2/27/18,-6.9114
2/26/18,-1.4408
2/23/18,-0.5903
2/22/18,-9.4386
2/21/18,-15.2563
2/20/18,-12.083
2/16/18,-9.7234
2/15/18,-0.4376
2/14/18,-21.2776
2/13/18,-42.9381
2/12/18,-53.9172
2/9/18,-78.8699
2/8/18,-95.4796
2/7/18,-78.3425
2/6/18,-65.4023
2/5/18,-97.9668
2/2/18,-98
2/1/18,-80
1/31/18,-82.2727
1/30/18,-85.2597
1/29/18,-93.1696
1/26/18,-85.5578
1/25/18,-93.9394
1/24/18,-73.3167
1/23/18,-37.5921
1/22/18,-28.5978
1/19/18,-15.0735
1/18/18,-7.7206
1/17/18,-2.8515
1/16/18,-31.4651
1/12/18,-3.317
1/11/18,-10.8824
1/10/18,-25.4412
1/9/18,-24.8529
1/8/18,-35.7143
1/5/18,-27.5689
1/4/18,-52.2556
1/3/18,-62.2807
1/2/18,-61.9048
12/29/17,-94.7681
12/28/17,-72.7705
12/27/17,-78.478
12/26/17,-61.7318
12/22/17,-20.3911
12/21/17,-20.3911
12/20/17,-26.5363
12/19/17,-24.7672
12/18/17,-7.2626
12/15/17,-10.7015
12/14/17,-33.1787
12/13/17,-35.7301
12/12/17,-42.0354
12/11/17,-31.3053
12/8/17,-67.8097
12/7/17,-68.3628
12/6/17,-71.792
12/5/17,-70.2638
12/4/17,-68.3453
12/1/17,-53.3573
11/30/17,-43.765
11/29/17,-74.0347
11/28/17,-40.3308
11/27/17,-27.3537
11/24/17,-16.1578
11/22/17,-16.285
11/21/17,-28.2847
11/20/17,-57.1168
11/17/17,-55.5657
11/16/17,-41.0543
11/15/17,-40.821
11/14/17,-25.1799
11/13/17,-10.825
11/10/17,-7.4869
11/9/17,-1.7167
11/8/17,0
11/7/17,-2.175
11/6/17,-3.7056
11/3/17,-9.1476
11/2/17,-12.2654
11/1/17,-20.4424
10/31/17,-4.1689
10/30/17,-10.3448
10/27/17,-6.4103
10/26/17,-59.1453
10/25/17,-70.6815
10/24/17,-55.2786
10/23/17,-55.8859
10/20/17,-54.9346
10/19/17,-58.1451
10/18/17,-12.5141
10/17/17,-4.5096
10/16/17,-1.5
10/13/17,-16.0063
10/12/17,-22.6244
10/11/17,-16.4027
10/10/17,-23.7557
10/9/17,-26.5934
10/6/17,-42.1301
10/5/17,-45.0617
10/4/17,-63.4208
10/3/17,-54.9534
10/2/17,-60.6266
9/29/17,-66.4865
9/28/17,-72.1622
