Date,Date Value,Open,High,Low,Close,Adj Close,Volume
6/23/17,42909,145.130005,147.160004,145.110001,146.279999,144.040924,35439400
6/26/17,42912,147.169998,148.279999,145.380005,145.820007,143.587967,25692400
6/27/17,42913,145.009995,146.160004,143.619995,143.729996,141.529938,24761900
6/28/17,42914,144.490005,146.110001,143.160004,145.830002,143.597794,22082400
6/29/17,42915,144.710007,145.130005,142.279999,143.679993,141.480713,31499400
6/30/17,42916,144.449997,144.960007,143.779999,144.020004,141.815506,23024100
7/3/17,42919,144.880005,145.300003,143.100006,143.5,141.303467,14258300
7/5/17,42921,143.690002,144.789993,142.720001,144.089996,141.88443,21569600
7/6/17,42922,143.020004,143.5,142.410004,142.729996,140.545258,24128800
7/7/17,42923,142.899994,144.75,142.899994,144.179993,141.973053,19201700
7/10/17,42926,144.110001,145.949997,143.369995,145.059998,142.839584,21090600
7/11/17,42927,144.729996,145.850006,144.380005,145.529999,143.302399,19781800
7/12/17,42928,145.869995,146.179993,144.820007,145.740005,143.509186,24884500
7/13/17,42929,145.5,148.490005,145.440002,147.770004,145.508102,25199400
7/14/17,42930,147.970001,149.330002,147.330002,149.039993,146.758636,20132100
7/17/17,42933,148.820007,150.899994,148.570007,149.559998,147.270706,23793500
7/18/17,42934,149.199997,150.130005,148.669998,150.080002,147.782761,17868800
7/19/17,42935,150.479996,151.419998,149.949997,151.020004,148.708359,20923000
7/20/17,42936,151.5,151.740005,150.190002,150.339996,148.038757,17243700
7/21/17,42937,149.990005,150.440002,148.880005,150.270004,147.969849,26252600
7/24/17,42940,150.580002,152.440002,149.899994,152.089996,149.761978,21493200
7/25/17,42941,151.800003,153.839996,151.800003,152.740005,150.402039,18853900
7/26/17,42942,153.350006,153.929993,153.059998,153.460007,151.111023,15781000
7/27/17,42943,153.75,153.990005,147.300003,150.559998,148.255402,32476300
7/28/17,42944,149.889999,150.229996,149.190002,149.5,147.211624,17213700
7/31/17,42947,149.899994,150.330002,148.130005,148.729996,146.4534,19845900
8/1/17,42948,149.100006,150.220001,148.410004,150.050003,147.753204,35368600
8/2/17,42949,159.279999,159.75,156.160004,157.139999,154.734665,69936800
8/3/17,42950,157.050003,157.210007,155.020004,155.570007,153.188705,27097300
8/4/17,42951,156.070007,157.399994,155.690002,156.389999,153.99614,20559900
8/7/17,42954,157.059998,158.919998,156.669998,158.809998,156.37912,21870300
8/8/17,42955,158.600006,161.830002,158.270004,160.080002,157.629684,36205900
8/9/17,42956,159.259995,161.270004,159.110001,161.059998,158.594666,26131500
8/10/17,42957,159.899994,160,154.630005,155.320007,153.543152,40804300
8/11/17,42958,156.600006,158.570007,156.070007,157.479996,155.678436,26257100
8/14/17,42961,159.320007,160.210007,158.75,159.850006,158.021317,22122700
8/15/17,42962,160.660004,162.199997,160.139999,161.600006,159.751297,29465500
8/16/17,42963,161.940002,162.509995,160.149994,160.949997,159.108719,27671600
8/17/17,42964,160.520004,160.710007,157.839996,157.860001,156.054092,27940600
8/18/17,42965,157.860001,159.5,156.720001,157.5,155.698212,27428100
8/21/17,42968,157.5,157.889999,155.110001,157.210007,155.41153,26368500
8/22/17,42969,158.229996,160,158.020004,159.779999,157.952118,21604600
8/23/17,42970,159.070007,160.470001,158.880005,159.979996,158.149826,19399100
8/24/17,42971,160.429993,160.740005,158.550003,159.270004,157.447952,19818900
