,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM,Labels
2018-07-18,202.22,203.17,201.35,202.2,1944767,0.7374,0.1956,-0.5418,56.6361,-10.0414,15.0568,6.37,1
2018-07-17,200.99,203.07,200.13,202.07,1920564,0.7176,-0.0085,-0.7262,56.3336,-10.4603,14.6692,6.55,1
2018-07-16,201.55,201.579,200.08,201.11,1468091,0.6498,-0.2557,-0.9056,54.1395,-16.2073,14.2836,4.39,1
2018-07-13,200.27,201.79,200,201.18,1626079,0.5983,-0.4698,-1.068,54.3244,-15.4355,14.3469,5.21,1
2018-07-12,199.17,200,197.401,199.32,1733568,0.4743,-0.7433,-1.2176,50.1235,-35.9427,14.4151,4.4,1
2018-07-11,199.82,199.82,197.49,197.68,1853121,0.4441,-0.8921,-1.3362,46.0619,-54.0243,15.0688,1.1,1
2018-07-10,201,202.58,200.39,201.48,1688695,0.545,-0.9022,-1.4472,55.8467,-12.1279,15.8322,5.68,1
2018-07-09,198.14,200.84,198.07,200.53,1967088,0.2946,-1.2888,-1.5835,53.5564,-15.625,15.5224,4.03,1
2018-07-06,197.09,198.06,196.39,197.46,1624490,-0.0097,-1.6668,-1.6571,44.9947,-64.2857,15.7101,1.94,1
2018-07-05,197.07,197.48,195.03,197.34,2019274,-0.1578,-1.8125,-1.6547,44.6242,-66.8398,16.8714,-0.74,0
2018-07-03,196.49,198.95,195.5,195.83,1228949,-0.3445,-1.9598,-1.6152,39.8932,-81.8203,17.9978,-3.56,0
2018-07-02,195.46,195.89,193.51,195.52,1815547,-0.4365,-1.9656,-1.5291,38.8981,-84.2495,19.3763,-8.65,0
2018-06-29,196.47,199.42,196.46,196.72,2671550,-0.4928,-1.9128,-1.42,41.3594,-75.6165,19.6809,-8.25,0
2018-06-28,195.5,196.845,194.21,195.97,1978686,-0.643,-1.9398,-1.2968,39.1239,-82.2814,21.0436,-7.66,0
2018-06-27,196.57,199.9,194.76,194.92,2889734,-0.7336,-1.8696,-1.1361,35.9496,-90.2662,21.3506,-9.97,0
2018-06-26,196.84,197.95,195.981,196.58,2140213,-0.6934,-1.646,-0.9527,38.9296,-77.6426,21.874,-8.34,0
2018-06-25,195.98,196.33,193.64,195.8,2922503,-0.7264,-1.5057,-0.7793,36.6379,-83.5741,21.4638,-9.32,0
2018-06-22,197.39,197.44,195.18,196.5,2838172,-0.6275,-1.2253,-0.5977,37.8206,-84.3443,20.1098,-10.09,0
2018-06-21,197.84,197.84,194.59,195.52,2420380,-0.4799,-0.9208,-0.4409,35.097,-92.377,19.072,-9.55,0
2018-06-20,199.34,200,197.26,198.08,2348279,-0.0981,-0.4189,-0.3209,39.2694,-91.3956,17.9544,-5.78,0
2018-06-19,201.26,201.83,198.33,199.39,3206804,0.2634,-0.033,-0.2964,41.6204,-70.2754,17.5414,-1.81,0
2018-06-18,202.53,204.57,200.25,204.17,2842825,0.6889,0.3267,-0.3622,52.2117,-24.8813,17.4571,3.11,1
2018-06-15,202.55,205.06,200.11,204.97,5449476,0.8288,0.2944,-0.5344,54.3615,-15.5689,18.0761,5.38,1
2018-06-14,205.76,206.2715,203.5,203.63,2221453,0.909,0.1674,-0.7416,51.2387,-27.0317,18.7427,6.4,1
2018-06-13,205.14,205.66,203.73,204.89,2097873,1.1082,0.1393,-0.9689,54.4945,-16.2532,19.4543,6.21,1
2018-06-12,205.67,205.95,203.95,204.92,1806066,1.219,-0.0269,-1.2459,54.5711,-15.9966,20.4728,9.18,1
2018-06-11,206.59,206.79,205,205.12,2302892,1.309,-0.2417,-1.5507,55.0505,-14.2857,21.4696,6.09,1
2018-06-08,204.98,206.75,204.41,206.59,2170219,1.3453,-0.5327,-1.8779,58.5619,-1.3734,22.0685,7.18,1
2018-06-07,204.18,205.89,203.76,205.07,2279213,1.1682,-1.046,-2.2142,55.8585,-7.5996,22.7269,6.4,1
2018-06-06,201.84,204.05,201.5528,203.86,2297660,0.9751,-1.5312,-2.5063,53.6221,-2.1229,23.7176,4.89,1
2018-06-05,201.08,202.1,200.89,201.2,2246119,0.745,-2.005,-2.7501,48.2721,-22.0676,25.4213,-0.56,0
2018-06-04,200.73,201.69,200.07,201.06,2408362,0.6265,-2.3098,-2.9363,47.9788,-43.0755,26.7454,2.1,1
2018-06-01,198.75,200.42,198.28,199.59,1827016,0.442,-2.651,-3.093,44.9348,-58.958,28.0068,-0.77,0
2018-05-31,198.11,198.45,196.26,197.23,5253129,0.3053,-2.8982,-3.2035,39.6723,-80.5302,28.8531,-2.98,0
2018-05-30,197.09,199.38,196.7,198.68,2143060,0.3485,-2.9313,-3.2798,41.9601,-67.2761,28.9082,-3.73,0
2018-05-29,198,198.51,195.1,195.74,2346792,0.2884,-3.0785,-3.3669,34.891,-94.1499,29.0788,-10.02,0
2018-05-25,198.33,199.41,197.93,199.03,1686498,0.5167,-2.9223,-3.439,39.9468,-73.9451,28.8886,-6.13,0
2018-05-24,198.83,200.18,196.931,199.41,2055003,0.5528,-3.0154,-3.5682,40.5774,-69.9367,29.3741,-5.62,0
2018-05-23,197.74,198.8,196.56,198.67,2737706,0.5773,-3.129,-3.7064,38.8313,-61.53,29.8969,-4.75,0
2018-05-22,201.96,202.11,198.73,198.97,2313924,0.6975,-3.1532,-3.8507,39.2656,-51.6435,29.9098,-2.77,0
2018-05-21,200.5,202.9273,200,201.76,2126485,0.8563,-3.1688,-4.0251,43.464,-31.2637,30.4271,1.5,1
2018-05-18,200.28,200.76,198.45,198.96,2925657,0.8125,-3.4267,-4.2391,37.2072,-48.4932,31.2992,-0.4,0
2018-05-17,199.27,201.4,198.69,200.36,2265781,1.0214,-3.4209,-4.4423,39.2226,-38.9041,31.393,4.68,1
2018-05-16,200.52,201.04,199.05,200.21,2913530,1.1914,-3.5062,-4.6976,38.8933,-39.9315,31.5456,5.71,1
2018-05-15,204.96,205.57,201.64,202.41,2259183,1.4465,-3.5489,-4.9954,41.9918,-24.863,31.71,7.39,1
2018-05-14,205.67,206.04,204.67,205.76,3385944,1.5813,-3.7758,-5.3571,47.3225,-1.9178,32.4184,11.37,1
2018-05-11,204.74,205.37,203.66,205.16,3155722,1.4009,-4.3515,-5.7524,46.1863,-8.8977,33.8904,9.04,1
2018-05-10,202.61,205.68,202.391,205.03,2700843,1.1407,-4.962,-6.1026,45.9518,-50.2015,35.2574,7.94,1
2018-05-09,202.03,204.73,201.37,203.42,3361255,0.7321,-5.6557,-6.3878,43.1,-58.4605,36.7296,4.58,1
