Date,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-16,191.52,192.65,190.415,190.91,15008866,0.9936,0.5222,0.4713,57.8699,-17.2107,16.5751,5.8
2018-07-13,191.08,191.84,190.9,191.33,12519792,0.8649,0.5242,0.3408,59.0368,-4.5905,16.2642,5.83
2018-07-12,189.53,191.41,189.31,191.03,18041131,0.6454,0.4356,0.2097,58.4815,-3.5581,16.2357,6.87
2018-07-11,188.5,189.7799,187.61,187.88,18831470,0.3863,0.2855,0.1008,52.1583,-32.2275,16.3675,3.45
2018-07-10,190.71,191.28,190.1801,190.35,15939149,0.3708,0.3413,0.0295,58.6636,-8.8152,17.1538,8.18
2018-07-09,189.5,190.68,189.3,190.58,19756634,0.094,0.1499,-0.0558,59.3031,-1.005,16.6331,5.66
2018-07-06,185.42,188.434,185.2,187.97,17485245,-0.284,-0.1907,-0.0933,54.0213,-14.7232,16.2928,2.51
2018-07-05,185.26,186.41,184.28,185.4,16604248,-0.4966,-0.451,-0.0456,47.8306,-50.4772,16.8413,-1.1
2018-07-03,187.79,187.95,183.54,183.92,13954806,-0.4991,-0.5662,0.0671,43.783,-70.572,17.8334,-1.77
2018-07-02,183.82,187.3,183.42,187.18,17731343,-0.3443,-0.5529,0.2086,52.0416,-46.9136,18.9019,-1.56
2018-06-29,186.29,187.19,182.91,185.11,22737666,-0.4736,-0.8205,0.3469,46.0404,-63.9506,19.7197,-3.73
2018-06-28,184.1,186.21,183.8,185.5,17365235,-0.421,-0.973,0.552,47.0709,-60.7407,20.5457,-5.3
2018-06-27,185.2278,187.28,184.03,184.16,25285328,-0.3875,-1.1827,0.7952,43.0007,-71.7695,20.9524,-6.54
2018-06-26,182.99,186.53,182.54,184.43,24569201,-0.2026,-1.2936,1.0909,43.6284,-72.5316,21.4732,-7.85
2018-06-25,183.4,184.92,180.73,182.17,31663096,0.0088,-1.4056,1.4143,36.4138,-89.3096,21.6826,-9.06
2018-06-22,186.12,186.15,184.7,184.92,27200447,0.5086,-1.2571,1.7657,42.5697,-86.3256,21.116,-6.78
2018-06-21,187.25,188.35,184.94,185.46,25711898,0.8591,-1.2209,2.08,43.9237,-81.3023,21.8578,-8
2018-06-20,186.35,187.2,185.73,186.5,20628701,1.2391,-1.1461,2.3852,46.5727,-71.6279,22.7526,-7.48
