,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,101.46,102.09,101.17,101.71,3155065.0,0.468,0.6598,0.1918,58.3366,-25.0,14.281,1.8
2018-07-23,100.15,101.4008,100.01,101.22,2617933.0,0.4201,0.6036,0.1836,56.4591,-34.0074,14.2379,1.31
2018-07-20,100.13,101.3,99.98,100.15,3326356.0,0.3742,0.573,0.1989,52.0803,-49.4078,14.679,1.63
2018-07-19,100.2,101.37,99.28,100.17,7171098.0,0.3244,0.6346,0.3101,52.1713,-49.0694,15.2259,1.64
2018-07-18,101.55,103.07,101.42,102.98,5923812.0,0.2469,0.7018,0.4549,67.5901,-1.3846,15.8148,5.14
2018-07-17,100.78,101.46,100.65,101.15,3092155.0,0.1332,0.4914,0.3582,60.5373,-6.3395,14.5472,2.15
2018-07-16,100.6,100.875,100.07,100.69,3265143.0,0.0436,0.4019,0.3583,58.4255,-13.4454,14.1783,2.69
2018-07-13,101.08,101.15,99.62,100.5,3456579.0,-0.0459,0.3287,0.3747,57.5544,-14.6127,14.2091,3.53
2018-07-12,101.03,101.33,100.6,101.15,3688815.0,-0.1396,0.2499,0.3895,61.6587,-3.169,14.2423,4.19
2018-07-11,99.66,100.8,99.66,100.3,3469606.0,-0.237,0.0795,0.3165,58.0239,-9.7087,13.3093,2.09
2018-07-10,99.91,100.47,99.5678,99.91,4675451.0,-0.3161,-0.0527,0.2635,56.2571,-11.6183,12.6378,1.37
2018-07-09,99.26,100.01,99.08,99.91,4991711.0,-0.382,-0.1809,0.2011,56.2571,-4.2223,12.126,2.68
2018-07-06,98.46,99.03,98.2,98.52,1996861.0,-0.4323,-0.3418,0.0904,49.7584,-35.4737,11.8713,1.89
2018-07-05,98.35,98.63,97.63,98.53,2385596.0,-0.4549,-0.4008,0.0541,49.8079,-35.2489,12.2761,2.11
2018-07-03,99.31,99.31,97.72,97.84,2041182.0,-0.4684,-0.4713,-0.0029,46.3958,-59.8165,13.0079,0.7
2018-07-02,97.4,99.04,97.16,99.0,3148710.0,-0.4677,-0.4841,-0.0164,51.9039,-38.5321,13.7274,0.53
2018-06-29,98.13,99.48,97.65,98.0,4698527.0,-0.4636,-0.6116,-0.148,46.8532,-59.8291,14.6859,-0.52
2018-06-28,97.01,97.45,96.57,96.97,3142396.0,-0.4266,-0.6635,-0.237,40.9192,-78.0731,15.3786,-2.79
2018-06-27,98.43,99.41,96.93,96.96,3693718.0,-0.3673,-0.6153,-0.248,40.8597,-78.2392,15.5372,-3.06
2018-06-26,99.5,99.83,98.065,98.21,5166067.0,-0.3053,-0.5438,-0.2385,46.2712,-62.0178,15.9368,-2.52
2018-06-25,97.05,100.0978,95.65,98.54,7996734.0,-0.2457,-0.5719,-0.3262,47.8239,-57.1217,17.137,-2.66
2018-06-22,97.35,97.96,97.07,97.23,9083001.0,-0.1641,-0.6331,-0.4689,40.459,-77.8281,18.4296,-3.77
2018-06-21,96.16,96.96,95.76,96.63,3350692.0,-0.0469,-0.5685,-0.5216,36.6563,-86.8778,18.1124,-4.85
2018-06-20,97.7,97.89,96.3575,96.42,4495342.0,0.0835,-0.4168,-0.5003,35.3137,-98.9639,16.7673,-4.55
2018-06-19,97.14,97.93,96.62,97.14,3119593.0,0.2086,-0.1957,-0.4043,37.8692,-90.9879,15.6297,-2.17
2018-06-18,97.85,98.55,97.31,98.47,3621308.0,0.3097,0.0161,-0.2936,43.2361,-77.1654,14.543,-0.98
2018-06-15,99.22,99.27,97.31,98.52,6741207.0,0.3831,0.1507,-0.2324,43.451,-71.5342,13.7429,0.27
2018-06-14,100.52,101.1,99.51,99.76,3285470.0,0.4411,0.3152,-0.1259,49.0693,-48.6137,12.8812,1.46
2018-06-13,100.87,100.88,99.96,100.02,3183754.0,0.4726,0.3944,-0.0782,50.3365,-43.8078,13.2935,1.03
2018-06-12,101.5,101.5,100.24,100.73,2426072.0,0.4922,0.4633,-0.0289,53.8637,-30.6839,14.0655,3.01
2018-06-11,101.18,101.67,100.79,101.2,3453275.0,0.4994,0.4722,-0.0272,56.2882,-32.5879,15.1007,0.1
2018-06-08,101.29,101.3,99.59,101.0,3580513.0,0.5062,0.4288,-0.0774,55.4967,-35.7827,15.9072,-1.01
2018-06-07,101.44,102.39,100.89,101.48,4245775.0,0.5256,0.3875,-0.1381,57.8305,-28.115,17.0248,-0.45
2018-06-06,100.0,100.995,99.57,100.97,2872713.0,0.5601,0.2803,-0.2798,56.0052,-36.262,17.2572,-1.73
2018-06-05,99.12,99.41,98.43,99.31,1811545.0,0.63,0.1913,-0.4387,49.3833,-62.7796,18.4447,-2.73
2018-06-04,98.81,99.505,98.64,99.45,2417430.0,0.7397,0.244,-0.4956,49.9723,-60.5431,18.676,-1.54
2018-06-01,99.34,99.61,98.22,98.25,2711229.0,0.8636,0.2935,-0.5701,44.7247,-79.7125,19.0689,-2.97
2018-05-31,98.68,99.36,97.8,98.3,2780315.0,1.0061,0.4745,-0.5316,44.9069,-78.9137,19.492,-2.29
2018-05-30,98.85,99.42,97.96,98.99,3076794.0,1.139,0.6936,-0.4455,47.3811,-67.8914,19.7449,-1.75
2018-05-29,99.84,99.84,96.98,97.72,4377844.0,1.2504,0.8928,-0.3576,41.9113,-88.1789,20.1074,-3.57
2018-05-25,101.35,101.64,100.47,101.1,1850822.0,1.3398,1.2635,-0.0763,56.4003,-44.1237,20.4978,-0.32
2018-05-24,101.69,102.31,100.72,102.01,2230032.0,1.3589,1.374,0.0152,61.7359,-24.8485,20.8973,0.63
2018-05-23,101.82,102.25,100.91,101.93,2553938.0,1.3551,1.4025,0.0474,61.4381,-18.1944,21.1118,1.43
2018-05-22,102.32,103.24,102.08,102.7,2910667.0,1.3432,1.4266,0.0834,66.0312,-6.9858,21.1841,2.96
2018-05-21,101.57,102.38,101.35,102.04,2084009.0,1.3224,1.3582,0.0358,63.8821,-8.9261,20.2362,3.46
2018-05-18,100.93,101.33,100.46,100.99,2927601.0,1.3134,1.3183,0.0049,60.1584,-23.5704,19.6345,2.64
2018-05-17,100.65,101.6439,100.3,101.22,2876062.0,1.3122,1.3551,0.0429,61.447,-20.3626,19.5533,4.08
2018-05-16,100.28,101.24,100.23,100.59,2135157.0,1.3015,1.359,0.0576,59.2256,-29.1492,19.4659,2.96
2018-05-15,100.82,101.23,99.97,100.74,3442274.0,1.2871,1.4084,0.1213,59.9898,-27.0572,19.5862,2.16
2018-05-14,101.69,102.15,101.11,101.29,2234818.0,1.2568,1.4356,0.1789,62.7464,-19.3863,19.7209,2.54
2018-05-11,101.49,102.68,101.27,101.42,2522065.0,1.2121,1.3935,0.1814,63.3857,-17.5732,19.017,1.81
2018-05-10,100.71,101.87,100.22,101.38,2847550.0,1.1667,1.3062,0.1395,63.2788,-7.7044,18.1364,1.15
2018-05-09,100.22,100.97,99.49,100.5,2694319.0,1.1318,1.1799,0.0481,60.9499,-30.3073,17.518,1.72
2018-05-08,98.78,100.37,98.39,99.74,3199056.0,1.1198,1.0912,-0.0286,58.8573,-43.2215,17.2379,-0.7
2018-05-07,98.53,98.99,98.29,98.58,2152136.0,1.1269,1.0394,-0.0876,55.4759,-48.8839,17.2027,-2.03
2018-05-04,96.35,98.95,96.04,98.35,2363206.0,1.1488,1.0762,-0.0726,54.7918,-49.1996,17.82,-2.44
2018-05-03,97.17,97.32,95.51,97.14,3572286.0,1.167,1.131,-0.036,51.1232,-59.0863,18.5043,-5.23
2018-05-02,98.06,99.37,97.55,97.63,3541979.0,1.176,1.3078,0.1318,52.7323,-51.1516,19.786,2.48
2018-05-01,98.82,98.82,97.29,98.58,2915158.0,1.143,1.4644,0.3214,55.8998,-40.1835,20.2473,4.72
2018-04-30,100.0,100.37,98.73,98.75,2567026.0,1.0627,1.5463,0.4836,56.4634,-36.2931,21.0194,5.15
2018-04-27,99.99,100.29,98.93,99.61,2017355.0,0.9418,1.6111,0.6693,59.2703,-28.8793,20.899,6.58
2018-04-26,98.85,100.51,98.56,100.23,3021102.0,0.7745,1.5827,0.8082,61.3107,-23.5345,20.6308,6.88
2018-04-25,100.0,100.3,97.9,98.78,5129150.0,0.5724,1.4604,0.888,58.1846,-34.4033,20.3419,7.18
2018-04-24,101.19,101.71,99.58,100.44,5049177.0,0.3504,1.4306,1.0802,63.652,-20.7407,20.1093,7.44
2018-04-23,100.78,101.16,99.91,100.61,3183325.0,0.0804,1.2028,1.1225,64.226,-19.3416,18.8026,8.47
2018-04-20,102.2,102.67,100.37,100.79,5614678.0,-0.2002,0.8773,1.0775,64.8004,-17.8601,17.5648,8.88
2018-04-19,99.36,102.96,99.05,102.37,11716884.0,-0.4696,0.4306,0.9002,69.8959,-4.5378,15.9417,8.17
2018-04-18,94.04,95.24,94.0,95.15,4981434.0,-0.6947,-0.3066,0.3881,54.8216,-1.704,14.1937,1.57
2018-04-17,93.96,94.6,93.59,93.86,2651652.0,-0.7917,-0.5079,0.2838,50.7283,-23.3709,15.0542,1.12
2018-04-16,93.78,94.2,93.11,93.6,2811543.0,-0.8627,-0.6262,0.2365,49.8784,-28.4772,15.5435,2.6
2018-04-13,94.13,94.3,92.54,93.03,2510298.0,-0.9218,-0.7415,0.1803,48.0543,-39.6716,15.7938,-0.25
2018-04-12,92.52,93.94,92.06,93.35,3137327.0,-0.9668,-0.8199,0.1469,48.9836,-33.387,16.0634,1.14
2018-04-11,91.94,92.81,91.36,91.6,4064893.0,-1.0036,-0.9407,0.0629,43.4281,-67.756,16.126,0.18
2018-04-10,93.41,93.69,92.53,93.0,4614186.0,-1.0193,-0.9029,0.1164,47.2504,-51.8077,15.4558,0.38
2018-04-09,92.7,94.24,91.96,92.14,3109723.0,-1.0484,-0.9841,0.0643,44.4622,-65.433,15.2369,1.69
2018-04-06,93.24,93.81,90.81,91.91,2968942.0,-1.0644,-0.9859,0.0785,43.7234,-69.077,15.001,0.5
2018-04-05,94.2,95.05,93.8,94.2,2482315.0,-1.0841,-0.9504,0.1336,49.8543,-34.0496,14.4892,-0.54
2018-04-04,91.21,93.92,91.08,93.58,4619167.0,-1.1175,-1.1245,-0.007,48.022,-43.6892,15.2875,-1.37
2018-04-03,91.55,92.93,91.18,92.74,2864528.0,-1.1157,-1.2672,-0.1514,45.5175,-56.7493,15.4643,-2.1
2018-04-02,93.14,93.55,89.9582,91.0,4998386.0,-1.0779,-1.3453,-0.2675,39.9522,-87.4054,15.0066,-4.61
2018-03-29,92.39,94.37,92.29,93.28,4940615.0,-1.011,-1.2484,-0.2373,45.6225,-69.1049,14.5136,-1.11
2018-03-28,91.76,93.54,91.6,92.21,5509660.0,-0.9517,-1.3386,-0.3869,42.0376,-80.6233,15.0615,-2.32
2018-03-27,92.81,93.74,90.87,91.42,4306212.0,-0.855,-1.3253,-0.4703,39.2938,-89.1275,15.1337,-3.95
2018-03-26,91.37,92.99,90.8,92.62,2716927.0,-0.7374,-1.2086,-0.4712,42.1051,-76.2097,15.2115,-5.05
2018-03-23,91.82,92.36,90.41,90.45,5028935.0,-0.6196,-1.1643,-0.5447,34.2,-99.5694,14.8446,-8.6
