,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,356.75,359.47,354.64,358.27,3175708.0,0.9512,2.8735,1.9223,59.8815,-10.9585,20.0973,11.11
2018-07-23,355.0,355.0,352.39,353.27,1943747.0,0.4707,2.4588,1.9881,55.483,-26.221,19.7971,11.35
2018-07-20,353.04,356.99,353.0,354.9,1817836.0,-0.0264,2.4028,2.4292,57.3877,-21.2454,20.112,20.26
2018-07-19,357.69,359.39,355.26,355.33,2711744.0,-0.6337,2.1305,2.7641,57.8743,-19.9328,20.3262,22.15
2018-07-18,359.0,361.86,354.2638,360.23,3090089.0,-1.3247,1.7081,3.0328,63.5796,-4.7151,20.0993,27.3
2018-07-17,357.61,359.0,355.04,356.88,2730514.0,-2.0829,0.6452,2.7281,61.1482,-6.6856,19.855,20.8
2018-07-16,353.97,356.34,352.35,356.1,2889033.0,-2.7649,-0.3797,2.3852,60.5792,-0.8262,19.9375,20.59
2018-07-13,347.0,351.24,346.2,350.79,2281610.0,-3.3612,-1.6029,1.7583,56.5572,-1.8789,20.3592,16.14
2018-07-12,345.28,346.6,342.7374,346.03,2030678.0,-3.8008,-2.6002,1.2006,52.5254,-9.5123,21.503,16.21
2018-07-11,341.73,344.39,339.19,340.6,3056866.0,-4.1009,-3.3507,0.7502,47.3494,-35.7315,22.8732,9.3
2018-07-10,342.78,348.0,342.78,347.16,3278253.0,-4.2885,-3.7069,0.5816,53.9476,-4.056,23.9908,15.96
2018-07-09,337.5,343.04,336.51,341.92,3128698.0,-4.4339,-4.7756,-0.3417,48.639,-26.4085,25.7065,3.01
2018-07-06,332.84,336.1,330.45,334.64,2138162.0,-4.3485,-5.5367,-1.1882,39.6666,-75.7865,26.7503,-3.02
2018-07-05,336.15,337.28,329.1,333.18,2427866.0,-4.0514,-5.6863,-1.6348,37.6379,-82.863,26.5456,-9.51
2018-07-03,338.18,339.6888,332.0,332.93,1464360.0,-3.6427,-5.6458,-2.0031,37.3026,-86.0223,26.325,-8.19
2018-07-02,330.69,336.325,329.32,336.08,2820817.0,-3.1419,-5.4867,-2.3448,39.8061,-79.8902,26.4067,-18.66
2018-06-29,337.19,340.0,335.36,335.51,3154812.0,-2.5557,-5.5245,-2.9687,39.1196,-81.9082,25.8434,-22.37
2018-06-28,330.0,337.54,327.29,334.65,3347973.0,-1.8136,-5.4343,-3.6207,38.131,-84.0139,25.8842,-27.77
2018-06-27,334.85,341.42,329.76,329.82,4574889.0,-0.9084,-5.1526,-4.2442,32.4069,-95.1454,25.4418,-34.03
2018-06-26,332.39,334.4,330.48,331.3,3112387.0,0.1527,-4.2263,-4.3789,33.2831,-92.1075,25.225,-39.32
2018-06-25,332.52,333.85,327.6,331.2,5006203.0,1.2474,-3.1332,-4.3806,33.1697,-92.3208,23.5138,-39.74
2018-06-22,340.43,340.94,336.6,338.91,3298084.0,2.3426,-1.6823,-4.0248,37.7636,-92.9089,21.5461,-30.59
2018-06-21,341.15,341.15,336.1952,337.66,4048336.0,3.3488,-0.5909,-3.9397,36.4383,-96.1739,20.2141,-30.87
2018-06-20,346.0,346.98,340.46,342.69,4539988.0,4.3337,0.9379,-3.3958,39.5883,-88.5348,18.7797,-28.87
2018-06-19,347.17,347.17,338.5732,341.12,6857338.0,5.1826,2.3634,-2.8192,38.0358,-92.9072,17.6559,-18.98
2018-06-18,353.19,357.645,352.37,354.74,3363221.0,5.8874,4.3084,-1.579,47.9653,-86.3517,16.4456,-5.99
2018-06-15,358.15,361.66,353.47,357.88,9945956.0,6.2822,5.3415,-0.9407,50.8045,-69.6893,16.8467,1.16
