,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,138.9,140.6,137.36,137.97,5064706.0,-2.4197,-1.9585,0.4612,44.7331,-45.544,22.2237,-3.28
2018-07-23,136.62,136.8,135.6,136.28,3542256.0,-2.535,-2.0698,0.4652,40.9222,-65.3355,23.4813,-4.69
2018-07-20,138.36,138.58,136.64,136.82,5250381.0,-2.6513,-2.0096,0.6417,41.7769,-58.1938,23.3974,1.41
2018-07-19,139.57,140.54,139.05,139.42,3576747.0,-2.8117,-1.9587,0.8531,46.0799,-28.1672,23.5797,3.61
2018-07-18,139.0,141.4999,138.33,141.12,4394797.0,-3.025,-2.1298,0.8952,49.1538,-8.051,24.4594,7.29
2018-07-17,136.98,139.33,136.53,138.95,3306022.0,-3.2488,-2.4904,0.7585,44.7883,-31.6919,25.4067,2.66
2018-07-16,140.88,140.88,137.901,138.08,3723098.0,-3.4384,-2.6934,0.745,42.9654,-41.1701,25.6014,2.41
2018-07-13,139.54,141.25,139.07,140.75,2840718.0,-3.6247,-2.8248,0.7999,47.428,-12.0819,26.1641,4.72
2018-07-12,138.5,139.73,136.83,139.42,4250787.0,-3.8247,-3.2233,0.6013,44.7748,-31.3646,27.0806,4.81
2018-07-11,138.13,139.39,135.84,136.76,5231660.0,-3.975,-3.5496,0.4254,39.0635,-58.4521,27.5099,1.22
2018-07-10,141.61,141.859,140.144,141.25,3761653.0,-4.0813,-3.6436,0.4377,46.6207,-28.6428,27.8475,4.67
2018-07-09,136.22,141.05,136.0953,140.97,5562297.0,-4.1908,-4.1678,0.0229,46.0159,-39.1336,29.3123,1.03
2018-07-06,135.11,135.864,133.32,135.41,3190010.0,-4.1965,-4.7477,-0.5512,31.7606,-83.7306,30.6086,-4.12
2018-07-05,135.01,136.09,134.09,135.81,3366285.0,-4.0587,-4.8527,-0.794,32.3309,-82.9148,29.8425,-7.32
2018-07-03,137.0,137.3482,133.33,133.83,1837356.0,-3.8602,-4.9569,-1.0967,26.2431,-95.3404,29.1805,-9.47
2018-07-02,133.8,136.43,133.2,136.29,3172703.0,-3.586,-4.8161,-1.2301,29.2823,-85.3728,28.4677,-12.39
2018-06-29,136.61,137.85,135.58,135.67,4120281.0,-3.2785,-4.8169,-1.5384,27.3122,-88.7212,27.2943,-14.35
2018-06-28,134.18,136.72,132.68,136.03,4215863.0,-2.8939,-4.6847,-1.7908,27.7287,-87.3633,26.4677,-17.11
2018-06-27,136.77,139.46,134.58,134.61,5663463.0,-2.4462,-4.4844,-2.0382,23.4533,-99.8781,25.0829,-20.1
2018-06-26,136.75,137.33,135.28,135.54,4285314.0,-1.9367,-4.019,-2.0824,24.3285,-98.5006,23.9266,-21.95
2018-06-25,138.86,138.98,135.18,136.58,6078178.0,-1.4161,-3.4613,-2.0452,25.3093,-94.1691,21.7232,-19.72
2018-06-22,140.9,142.5,139.77,139.94,5223430.0,-0.9048,-2.8049,-1.9001,28.7916,-95.9143,19.3504,-15.38
2018-06-21,142.25,142.39,139.12,139.53,5914894.0,-0.4297,-2.2684,-1.8387,27.6639,-97.9571,17.5169,-16.76
2018-06-20,144.22,144.69,141.82,143.13,4128281.0,0.03,-1.509,-1.5389,31.7654,-92.4583,15.4936,-13.38
2018-06-19,146.0,146.3,142.32,143.3,6792028.0,0.4147,-0.8842,-1.2989,31.9733,-94.1909,13.7991,-9.71
2018-06-18,148.42,149.46,147.72,148.68,3651587.0,0.7394,-0.0913,-0.8307,39.5856,-91.6303,12.0687,-3.82
2018-06-15,150.85,151.0,148.43,150.02,8852451.0,0.9471,0.3744,-0.5727,41.8923,-85.223,11.408,-3.5
2018-06-14,155.7,157.36,152.76,153.14,3967606.0,1.0902,0.8269,-0.2634,47.9311,-78.6736,10.8852,1.23
2018-06-13,157.18,157.35,154.51,154.71,4189325.0,1.1561,1.0747,-0.0814,51.3927,-58.2575,11.6563,-0.75
2018-06-12,156.45,159.19,156.39,157.49,2595641.0,1.1764,1.2155,0.0391,58.3176,-22.1066,11.9597,3.87
2018-06-11,155.19,157.08,154.72,156.3,2758304.0,1.1667,1.0945,-0.0722,55.9588,-38.8909,11.5043,0.45
2018-06-08,156.19,156.65,155.035,155.32,3254129.0,1.1847,1.0453,-0.1394,53.9667,-62.1782,11.7031,-2.38
2018-06-07,157.11,157.93,155.53,156.29,3149146.0,1.2196,1.0671,-0.1525,56.3076,-52.5743,12.0649,-1.45
2018-06-06,153.65,156.54,153.01,156.51,3689293.0,1.2577,0.9806,-0.2771,56.8267,-50.396,12.2648,0.31
2018-06-05,152.4,153.1,152.02,153.01,2916553.0,1.327,0.8335,-0.4935,50.0196,-85.0495,12.9255,-5.91
2018-06-04,154.79,154.93,152.08,152.5,2470867.0,1.4503,0.99,-0.4603,48.9301,-90.099,12.9257,-3.21
2018-06-01,153.3,154.19,152.26,153.52,2755539.0,1.5654,1.2274,-0.3381,50.9945,-80.0,12.9446,-0.17
2018-05-31,155.3,155.3099,151.5,151.91,4546036.0,1.6499,1.4086,-0.2414,47.7644,-95.9406,12.678,-1.89
2018-05-30,154.6,155.98,153.84,155.46,2688183.0,1.7103,1.7833,0.073,55.2163,-62.0829,12.3909,2.87
