,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,42.22,42.88,42.07,42.39,17492537.0,-0.3202,-0.3173,-0.0029,46.2155,-48.9437,20.9913,-0.47
2018-07-23,41.92,42.12,41.44,42.06,15656523.0,-0.3437,-0.3165,-0.0271,42.5254,-60.5634,21.752,-0.61
2018-07-20,42.26,42.365,41.86,42.01,20739164.0,-0.3351,-0.3098,-0.0253,41.9651,-62.3239,21.2759,-0.7
2018-07-19,42.8,43.01,42.22,42.4,24498798.0,-0.3141,-0.3034,-0.0107,45.1528,-48.5915,21.2306,-0.16
2018-07-18,42.24,42.47,42.15,42.21,20363959.0,-0.3225,-0.3008,-0.0217,43.201,-55.2817,21.6144,-0.46
2018-07-17,42.21,42.51,42.14,42.34,21188404.0,-0.3091,-0.2953,-0.0138,44.2003,-50.7042,21.0316,-0.47
2018-07-16,42.05,42.94,42.0,42.5,24467954.0,-0.3008,-0.2919,-0.0089,45.4005,-45.0704,20.4041,-0.53
2018-07-13,43.52,43.78,40.94,41.78,50842315.0,-0.3021,-0.2897,-0.0124,38.4126,-70.4225,19.7282,-1.16
2018-07-12,42.76,43.63,42.75,43.58,17999800.0,-0.2261,-0.2866,0.0605,54.6495,-2.7397,19.0004,1.25
2018-07-11,42.56,42.755,42.44,42.57,17721577.0,-0.309,-0.3017,-0.0073,41.8405,-61.2658,20.3095,0.02
2018-07-10,42.87,43.04,42.71,42.86,20224631.0,-0.3075,-0.2999,-0.0076,45.2479,-51.7162,20.0842,0.57
2018-07-09,42.75,42.78,42.36,42.67,23210029.0,-0.3307,-0.298,-0.0327,42.3938,-60.9481,20.2166,-0.53
2018-07-06,42.39,42.875,42.31,42.71,20258659.0,-0.3362,-0.2898,-0.0464,42.8303,-65.392,19.811,-0.45
2018-07-05,42.56,42.64,41.96,42.56,18118737.0,-0.3423,-0.2782,-0.0641,40.7045,-72.2936,19.3741,-1.18
2018-07-03,42.9355,43.225,42.62,42.67,13474686.0,-0.3298,-0.2622,-0.0676,41.7619,-71.2146,18.4284,-1.15
2018-07-02,42.56,42.83,42.2,42.81,21810850.0,-0.3203,-0.2453,-0.0751,43.0846,-66.5557,18.1842,-1.4
2018-06-29,43.05,43.5,42.97,43.03,20523320.0,-0.3178,-0.2265,-0.0913,45.1723,-59.2346,17.0872,-1.22
2018-06-28,42.33,43.19,42.28,42.94,22197703.0,-0.3324,-0.2037,-0.1287,44.1442,-62.2296,16.906,-1.75
2018-06-27,42.73,43.15,42.28,42.33,20794794.0,-0.337,-0.1715,-0.1655,36.6701,-82.5291,15.9984,-1.68
2018-06-26,42.48,43.14,42.39,42.55,22171180.0,-0.2759,-0.1301,-0.1457,38.3905,-75.208,14.9282,-1.39
2018-06-25,42.69,42.82,41.805,42.29,28626684.0,-0.2162,-0.0937,-0.1225,35.0464,-83.8602,13.9079,-1.4
2018-06-22,43.34,43.45,42.89,43.2,27459976.0,-0.1105,-0.0631,-0.0474,42.553,-83.8542,12.1092,-0.28
2018-06-21,43.69,43.78,43.06,43.16,20924445.0,-0.0666,-0.0512,-0.0153,42.0464,-94.2857,11.5604,-0.49
2018-06-20,43.95,43.99,43.7,43.74,21276541.0,-0.0055,-0.0474,0.042,47.7122,-55.4404,11.2409,-0.52
2018-06-19,43.62,44.02,43.44,43.82,22199204.0,0.0136,-0.0579,0.0715,48.5501,-45.0,12.066,0.15
2018-06-18,43.87,44.42,43.39,44.21,17625361.0,0.0295,-0.0758,0.1053,52.7431,-27.2727,12.9545,0.63
2018-06-15,44.36,44.53,43.59,44.25,49379790.0,0.0097,-0.1021,0.1118,53.1806,-24.4541,13.9113,0.59
2018-06-14,44.23,44.81,44.05,44.69,24020482.0,-0.0198,-0.13,0.1102,58.1025,-5.2402,14.6595,1.98
2018-06-13,44.02,44.53,43.84,44.01,24383241.0,-0.102,-0.1576,0.0556,51.6855,-25.8706,14.5657,1.16
2018-06-12,43.68,43.945,43.47,43.94,17564885.0,-0.1361,-0.1715,0.0353,50.9676,-24.0642,14.903,0.97
2018-06-11,43.62,43.92,43.44,43.69,15068969.0,-0.1706,-0.1803,0.0097,48.4264,-37.4332,15.7872,0.43
2018-06-08,43.52,43.73,43.31,43.48,18812398.0,-0.1867,-0.1827,-0.004,46.2537,-48.6631,16.6914,-0.09
2018-06-07,44.24,44.39,43.35,43.65,19722037.0,-0.1831,-0.1817,-0.0014,47.7664,-39.5722,17.3089,-0.03
2018-06-06,43.76,44.31,43.66,44.26,17730231.0,-0.1932,-0.1814,-0.0118,53.6078,-2.7933,18.0355,0.61
2018-06-05,43.74,43.75,43.39,43.67,16728755.0,-0.2654,-0.1784,-0.087,47.8837,-62.0462,19.296,-0.08
2018-06-04,43.5,43.83,43.21,43.58,18087741.0,-0.2935,-0.1567,-0.1369,46.9566,-65.0165,19.6561,0.37
2018-06-01,42.91,43.69,42.88,43.66,18352715.0,-0.3161,-0.1224,-0.1936,47.6563,-69.2722,20.0438,0.2
2018-05-31,42.8574,43.13,42.61,42.71,31439566.0,-0.3484,-0.074,-0.2743,37.3648,-94.9333,20.2121,-2.45
2018-05-30,43.08,43.34,42.83,42.85,22498821.0,-0.2878,-0.0055,-0.2823,38.3979,-91.4286,19.3294,-2.63
2018-05-29,42.7646,43.16,42.52,42.97,25197401.0,-0.2206,0.0651,-0.2857,39.2619,-88.3117,18.6138,-2.73
2018-05-25,43.46,43.62,43.21,43.26,15362007.0,-0.1438,0.1365,-0.2803,41.3498,-89.3678,17.4952,-2.67
2018-05-24,43.6,43.97,43.01,43.57,18377491.0,-0.0732,0.2066,-0.2798,43.6542,-80.4598,17.0264,-2.73
2018-05-23,43.4,43.7,42.89,43.68,20638782.0,-0.0135,0.2766,-0.2901,44.4708,-77.2989,16.5215,-2.36
2018-05-22,43.79,43.91,43.475,43.65,16381784.0,0.0515,0.3491,-0.2975,44.2065,-81.194,15.4955,-2.06
2018-05-21,43.49,43.94,43.42,43.75,21785939.0,0.1369,0.4235,-0.2866,44.8675,-78.209,15.0039,-1.98
2018-05-18,43.46,43.57,43.11,43.21,24455962.0,0.2337,0.4951,-0.2614,40.3988,-94.3284,14.4744,-2.09
2018-05-17,43.13,44.16,43.02,43.46,48210381.0,0.4088,0.5605,-0.1516,41.8573,-86.8657,13.2846,-0.98
2018-05-16,45.36,45.55,45.01,45.16,31253656.0,0.601,0.5984,0.0026,54.2168,-41.2969,12.0032,1.3
2018-05-15,45.21,45.55,44.93,45.48,24753573.0,0.6644,0.5977,0.0666,57.1673,-30.3754,12.8478,0.65
2018-05-14,45.75,46.23,45.67,45.7,22037655.0,0.703,0.581,0.122,59.2248,-18.5083,13.7573,1.41
2018-05-11,46.09,46.27,45.78,45.93,17551533.0,0.7197,0.5506,0.1692,61.3691,-12.1547,13.4537,1.22
2018-05-10,46.0,46.37,45.67,46.3,18469391.0,0.7072,0.5083,0.199,64.8779,-1.9337,12.9154,2.09
2018-05-09,45.904,46.1,45.19,46.04,20438258.0,0.6432,0.4585,0.1847,63.5168,-1.791,12.3358,2.33
2018-05-08,45.82,45.87,45.38,45.71,20285300.0,0.5787,0.4123,0.1664,61.7707,-8.9231,12.0294,1.97
2018-05-07,45.36,46.0,45.3,45.73,17822387.0,0.5215,0.3707,0.1508,61.9375,-8.3077,11.9751,1.48
2018-05-04,44.01,45.5,43.9,45.3,19504140.0,0.4389,0.333,0.1059,59.7684,-7.2727,11.9166,1.21
2018-05-03,44.0084,44.81,43.44,44.44,23750207.0,0.3709,0.3066,0.0643,55.0064,-34.749,12.4396,-0.12
2018-05-02,44.91,45.05,43.8,43.86,23601562.0,0.3662,0.2905,0.0758,51.4042,-54.8148,12.8708,-0.77
2018-05-01,43.91,44.95,43.83,44.83,16865524.0,0.414,0.2715,0.1425,58.7027,-18.8889,13.8009,0.24
2018-04-30,44.92,45.18,44.28,44.29,19958464.0,0.3702,0.2359,0.1343,55.4315,-34.0909,14.6704,0.99
2018-04-27,44.69,45.34,44.36,44.71,20077392.0,0.3639,0.2023,0.1615,58.795,-17.5487,15.4157,1.71
2018-04-26,43.98,44.49,43.44,44.21,20549341.0,0.3078,0.162,0.1458,55.8324,-18.2716,16.1148,0.87
2018-04-25,43.8,43.99,42.75,43.71,21706045.0,0.2826,0.1255,0.157,52.6727,-27.5556,16.7974,1.28
2018-04-24,44.43,44.91,43.33,43.74,21421528.0,0.2972,0.0863,0.2109,52.8835,-26.8889,16.8237,1.23
2018-04-23,44.26,44.475,43.87,44.25,20716812.0,0.3085,0.0335,0.275,56.4494,-14.7059,17.5074,3.08
2018-04-20,44.5,44.75,43.62,44.09,23539219.0,0.2665,-0.0352,0.3017,55.5768,-18.0672,18.7797,3.36
2018-04-19,44.42,44.95,44.38,44.56,21472349.0,0.2253,-0.1106,0.336,58.7899,-8.1933,20.1498,2.74
2018-04-18,44.61,44.92,44.295,44.63,17605321.0,0.1216,-0.1946,0.3163,59.2637,-6.1311,20.5928,3.43
