,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,111.84,111.89,110.54,110.7,5648968.0,1.5614,1.8536,0.2922,65.0402,-37.406,37.3363,4.67
2018-07-23,111.05,111.21,110.335,111.09,5447781.0,1.4883,1.8965,0.4082,67.4992,-32.1109,35.9374,5.07
2018-07-20,112.15,112.2,110.83,111.48,11805204.0,1.3863,1.884,0.4977,69.9552,-28.6225,34.6199,6.7
2018-07-19,111.54,114.68,111.3,112.13,17796796.0,1.2618,1.8009,0.5391,74.1294,-22.8086,32.7446,6.79
2018-07-18,110.31,111.06,109.65,110.69,6414101.0,1.127,1.6025,0.4754,70.5094,-21.1623,30.2922,6.65
2018-07-17,110.26,112.62,110.085,110.3,9075939.0,1.0082,1.4725,0.4644,69.4338,-25.3832,28.5732,4.97
2018-07-16,109.82,110.45,108.77,110.2,8245935.0,0.8921,1.325,0.4329,69.1661,-3.5869,26.2607,5.39
2018-07-13,108.0,110.24,107.66,110.0,8188898.0,0.7839,1.1275,0.3436,68.6561,-3.5503,24.4783,5.23
2018-07-12,108.05,109.2,107.82,108.25,5931413.0,0.698,0.8794,0.1815,63.7907,-18.601,22.6381,4.29
2018-07-11,105.32,109.34,105.32,108.04,11753824.0,0.6526,0.7282,0.0756,63.1534,-22.1847,21.0675,3.78
2018-07-10,106.25,106.57,104.83,106.03,4213638.0,0.6337,0.546,-0.0877,56.3203,-42.3086,19.376,1.58
2018-07-09,105.01,106.07,104.75,106.02,4725229.0,0.6557,0.5101,-0.1456,56.2829,-42.5349,18.9213,-0.32
2018-07-06,104.5,105.04,104.04,104.78,4134897.0,0.692,0.4579,-0.2342,51.4939,-70.5898,18.7488,-1.11
2018-07-05,104.7,105.602,104.43,105.34,6202815.0,0.7506,0.5109,-0.2397,53.9734,-68.688,19.2787,-1.81
2018-07-03,105.88,105.95,103.5,104.04,2406267.0,0.8105,0.514,-0.2965,48.6429,-90.6837,19.4769,-2.06
2018-07-02,104.15,105.37,103.9,105.33,5489341.0,0.8846,0.6429,-0.2417,54.4538,-60.9971,19.6903,-1.73
2018-06-29,104.93,105.68,104.65,104.81,6774510.0,0.9451,0.6668,-0.2783,52.3219,-68.6217,20.2967,-4.04
2018-06-28,103.91,105.1198,103.6753,104.77,6304015.0,1.0146,0.7405,-0.2742,52.1619,-69.2082,20.2967,-3.98
2018-06-27,104.5,105.88,103.4801,103.96,8800308.0,1.0832,0.8278,-0.2554,48.9411,-72.1763,20.6376,-2.35
2018-06-26,104.46,104.71,103.91,104.26,6549998.0,1.147,1.0097,-0.1373,50.1012,-68.099,21.0047,-0.07
2018-06-25,106.0,106.08,103.74,104.45,7995781.0,1.1814,1.1967,0.0153,50.8095,-51.7986,22.1201,0.1
2018-06-22,106.07,106.8,105.81,106.34,9285729.0,1.1776,1.3986,0.221,58.4408,-32.3741,23.3213,2.36
2018-06-21,107.01,107.25,105.791,105.89,7707762.0,1.1223,1.4435,0.3212,57.0134,-36.7722,22.9401,3.42
