,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD_Hist,MACD,RSI,WILLR,ADX,MOM
2018-07-24,66.01,67.38,65.7,66.92,6561640.0,-0.142,0.0294,-0.1126,52.8017,-36.5269,9.0892,-0.89
2018-07-23,65.88,66.03,65.49,65.7,6255559.0,-0.1494,-0.0329,-0.1823,45.5482,-73.0539,9.6315,-1.05
2018-07-20,65.37,66.08,64.8,65.82,6248402.0,-0.1412,-0.0032,-0.1443,46.1966,-68.6391,9.2562,-0.11
2018-07-19,66.55,66.55,65.54,66.14,7114186.0,-0.1404,0.0344,-0.106,47.8847,-59.1716,8.8519,0.07
2018-07-18,67.04,67.2,66.49,66.59,5160011.0,-0.149,0.0609,-0.0881,50.2839,-43.9093,8.9873,1.44
2018-07-17,65.55,67.59,65.31,67.06,6170086.0,-0.1642,0.0544,-0.1098,52.8522,-30.5949,9.3995,1.29
2018-07-16,66.53,66.5999,65.2,65.72,5760123.0,-0.1778,-0.006,-0.1838,45.4801,-68.5552,9.8435,-0.2
2018-07-13,66.21,66.88,66.14,66.36,4059710.0,-0.1763,0.0372,-0.1391,48.8689,-50.4249,10.0221,0.21
2018-07-12,66.81,66.81,65.7901,66.25,4751456.0,-0.1856,0.0404,-0.1452,48.2536,-53.5411,10.5636,0.64
2018-07-11,67.03,67.06,65.76,66.3,6909204.0,-0.1957,0.056,-0.1396,48.4999,-52.1246,11.2059,-0.01
2018-07-10,66.85,68.14,66.85,67.81,8053856.0,-0.2097,0.0741,-0.1356,56.6046,-9.3484,11.8976,1.83
2018-07-09,66.27,66.79,66.09,66.75,5906078.0,-0.2282,-0.054,-0.2822,51.2998,-25.9516,11.7074,-0.25
2018-07-06,66.0,66.3262,65.31,65.93,6140762.0,-0.2147,-0.1427,-0.3574,46.6118,-60.5381,12.5462,0.65
2018-07-05,65.72,66.27,65.09,66.07,5908703.0,-0.179,-0.1856,-0.3646,47.3341,-58.5227,13.1669,0.18
2018-07-03,66.45,66.72,65.09,65.15,3583857.0,-0.1326,-0.2501,-0.3827,41.8334,-87.6993,13.7869,-1.21
2018-07-02,65.53,65.85,64.76,65.77,6377874.0,-0.0701,-0.2366,-0.3067,44.7588,-77.8203,14.4545,-2.02
2018-06-29,66.23,67.31,65.9,65.92,6663630.0,-0.0109,-0.2573,-0.2682,45.4732,-75.8303,14.4664,-1.83
2018-06-28,65.64,66.4,64.61,66.15,6815706.0,0.0534,-0.2839,-0.2305,46.5306,-71.5867,15.2643,-2.23
2018-06-27,66.54,67.5,65.6,65.61,7872445.0,0.1243,-0.3269,-0.2025,43.6752,-87.369,15.3483,-2.96
2018-06-26,66.55,66.55,65.82,66.31,5796598.0,0.2061,-0.3149,-0.1088,46.6756,-75.3362,16.1545,-3.47
2018-06-25,66.37,66.555,65.07,65.98,8655304.0,0.2848,-0.3437,-0.0589,45.0223,-81.4146,16.1601,-3.51
2018-06-22,66.05,67.23,66.05,67.0,18217183.0,0.3707,-0.3315,0.0392,49.4201,-62.6266,16.1661,-2.49
2018-06-21,65.74,65.74,65.02,65.28,6176499.0,0.4536,-0.3935,0.0601,40.2869,-94.3083,16.8512,-4.14
2018-06-20,66.5,66.5,65.45,65.89,7191427.0,0.552,-0.291,0.261,42.834,-76.054,16.1511,-4.15
