,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,234.75,237.48,234.34,235.88,2887509.0,1.1254,-0.3183,1.4437,63.5859,-9.0395,18.1117,9.03
2018-07-23,231.8,234.86,231.72,233.76,2788682.0,0.6497,-0.6792,1.3289,60.3976,-7.2944,17.1194,5.77
2018-07-20,229.01,232.05,228.8,231.69,2684620.0,0.2489,-1.0114,1.2603,56.9827,-13.6886,16.7075,9.9
2018-07-19,231.11,231.99,228.98,229.63,4638844.0,-0.0555,-1.3265,1.2709,53.2581,-27.5794,17.1026,8.89
2018-07-18,232.34,233.72,230.15,231.24,6149874.0,-0.2335,-1.6442,1.4107,56.829,-16.723,17.4557,10.86
2018-07-17,231.48,233.23,226.87,231.02,9280184.0,-0.6212,-1.9969,1.3757,56.4586,-15.4115,17.3717,7.76
2018-07-16,227.2,231.44,226.74,231.44,3271217.0,-1.0846,-2.3408,1.2562,57.3306,-0.0,17.4147,10.87
2018-07-13,226.63,228.62,223.93,226.41,2543722.0,-1.703,-2.6548,0.9518,48.4812,-24.6495,17.9594,2.99
2018-07-12,227.64,227.8,225.7701,227.22,2223060.0,-1.9555,-2.8928,0.9373,50.0329,-28.2511,19.2487,7.04
2018-07-11,225.76,227.25,225.2,225.66,2527030.0,-2.3318,-3.1271,0.7954,46.9993,-41.6881,20.1794,4.08
2018-07-10,228.0,228.87,225.8486,226.85,2524839.0,-2.6193,-3.326,0.7067,49.1113,-31.4381,21.3531,5.31
2018-07-09,223.36,228.2,223.0,227.99,2743874.0,-3.0693,-3.5026,0.4334,51.1561,-21.6188,22.3991,1.97
2018-07-06,220.54,223.2,219.88,221.79,1846534.0,-3.7151,-3.611,-0.1041,38.1509,-77.3089,23.7144,-5.19
2018-07-05,221.5,222.14,219.78,220.74,2218550.0,-3.8541,-3.585,-0.2691,35.448,-87.0273,24.3003,-7.08
2018-07-03,224.46,224.64,219.99,220.38,1204376.0,-3.8685,-3.5177,-0.3508,34.5373,-91.2358,24.5155,-7.94
2018-07-02,219.75,223.34,218.8901,223.26,1723244.0,-3.794,-3.43,-0.364,38.581,-77.4047,24.7995,-8.13
2018-06-29,224.4,225.17,220.45,220.57,3395263.0,-3.9369,-3.339,-0.5979,31.6391,-92.4143,24.6196,-11.35
2018-06-28,220.25,224.66,219.58,223.42,3072630.0,-3.7882,-3.1895,-0.5987,35.5973,-77.5003,24.7724,-10.23
2018-06-27,221.48,225.47,220.14,220.18,3103621.0,-3.8334,-3.0398,-0.7936,25.7975,-94.4551,24.7566,-13.65
2018-06-26,221.78,222.8,219.1204,221.58,2692887.0,-3.5056,-2.8414,-0.6641,27.475,-87.129,24.8543,-11.05
2018-06-25,224.5,225.1352,220.39,221.54,3817727.0,-3.1786,-2.6754,-0.5033,27.3497,-93.5538,24.0424,-12.55
2018-06-22,227.78,230.4999,225.58,226.02,2892218.0,-2.711,-2.5496,-0.1615,33.3419,-89.3759,23.3892,-7.37
