,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,203.53,204.25,201.35,201.99,5058066.0,0.3519,2.091,1.7391,67.8746,-20.0,31.3535,4.38
2018-07-23,202.46,203.39,201.9,202.23,2264267.0,0.4212,2.0723,1.6511,69.2345,-14.1536,30.0171,6.15
2018-07-20,202.08,203.76,201.82,202.45,3568417.0,0.4481,1.9939,1.5458,70.4357,-11.2543,28.8298,7.97
2018-07-19,200.89,203.23,200.5463,202.63,3691097.0,0.4087,1.8425,1.4338,71.3765,-5.4005,27.5512,8.22
2018-07-18,201.02,201.92,200.19,200.97,3787846.0,0.2724,1.6041,1.3317,67.6796,-9.6939,26.3216,7.35
2018-07-17,198.63,201.43,198.63,201.1,4662847.0,0.1819,1.4454,1.2636,68.3212,-3.5446,25.3783,7.08
2018-07-16,199.14,199.22,197.89,198.88,2530462.0,-0.0094,1.2087,1.2181,62.7157,-13.4443,24.5108,3.78
2018-07-13,198.46,199.93,198.46,198.69,2311624.0,-0.1054,1.115,1.2204,62.1839,-15.8771,24.3148,3.48
2018-07-12,198.2,198.48,197.0,197.95,2709206.0,-0.2483,0.9985,1.2468,60.1272,-35.793,23.7358,2.93
2018-07-11,197.22,197.76,195.9506,196.95,3309295.0,-0.3982,0.9107,1.3089,57.2066,-46.8062,23.624,0.59
2018-07-10,196.56,197.76,196.38,197.61,2842359.0,-0.5213,0.8871,1.4084,59.8953,-39.5374,23.7749,1.23
2018-07-09,195.7,196.71,195.03,196.08,2575076.0,-0.7617,0.777,1.5387,55.3811,-56.3877,23.6865,-1.33
2018-07-06,194.58,195.35,192.95,194.48,2552568.0,-0.9483,0.7809,1.7292,49.9057,-74.0088,23.9655,-5.83
2018-07-05,194.49,194.74,193.13,194.41,3040575.0,-1.0288,0.9374,1.9662,49.6547,-75.8439,24.7857,-4.67
2018-07-03,194.44,195.71,193.41,193.62,1608418.0,-1.0928,1.1307,2.2234,46.8648,-84.1772,25.9123,-5.59
2018-07-02,193.82,194.18,192.12,194.02,3822776.0,-1.0553,1.4413,2.4966,48.1185,-79.9578,26.9917,-6.67
2018-06-29,195.86,198.83,194.99,195.1,4106627.0,-0.9843,1.7762,2.7604,51.5777,-80.3461,28.7448,-5.44
2018-06-28,195.0,196.01,193.51,195.21,2994073.0,-0.9388,2.0677,3.0065,51.9308,-78.9864,29.1986,-4.46
2018-06-27,196.66,197.99,195.01,195.02,3771522.0,-0.8426,2.3986,3.2412,51.3972,-99.8483,30.8451,-5.29
2018-06-26,196.58,197.33,195.6,196.36,3270629.0,-0.6465,2.8054,3.4519,55.4269,-67.4389,31.7341,-4.95
2018-06-25,197.41,197.84,195.06,196.38,5127170.0,-0.4662,3.1473,3.6135,55.4872,-50.2406,32.9743,-3.26
2018-06-22,200.79,201.2,197.17,197.41,7067329.0,-0.1941,3.5359,3.73,58.5321,-35.2101,34.3099,-0.92
2018-06-21,199.21,200.94,198.61,200.31,4695068.0,0.0971,3.8757,3.7786,68.3361,-9.4644,34.4711,4.14
2018-06-20,200.0,200.13,198.12,199.08,3389588.0,0.2034,3.9576,3.7543,66.0998,-16.7109,33.6264,5.49
2018-06-19,198.21,199.9,198.1,199.21,5501146.0,0.4265,4.1299,3.7034,66.5611,-14.6177,32.9483,7.27
2018-06-18,198.94,200.91,198.11,200.69,3405347.0,0.6797,4.2765,3.5968,71.8637,-5.1734,32.2833,9.33
2018-06-15,198.95,201.6,198.5,200.54,7820898.0,0.8238,4.2507,3.4269,71.6511,-6.0262,31.5608,13.19
2018-06-14,200.26,201.0,198.16,199.67,4305893.0,0.9503,4.1713,3.2209,70.4489,-10.8708,30.542,13.12
2018-06-13,201.3,201.58,199.6588,200.31,5128112.0,1.1144,4.0977,2.9834,72.5506,-7.2282,29.5832,13.22
2018-06-12,199.84,201.34,199.51,201.31,4616661.0,1.1744,3.8791,2.7048,75.8331,-0.1731,27.6517,16.31
2018-06-11,198.91,200.52,198.34,199.64,4242950.0,1.0307,3.4419,2.4112,74.0096,-5.3301,25.6146,12.79
2018-06-08,195.87,198.5,195.01,198.33,4006213.0,0.8502,3.0037,2.1535,72.4981,-1.1732,23.564,11.18
2018-06-07,193.83,197.2,193.83,196.17,4378743.0,0.5932,2.5342,1.941,69.8099,-7.8089,21.7316,9.5
2018-06-06,193.07,193.59,191.21,193.59,4134745.0,0.3253,2.1179,1.7926,66.1389,-0.0,20.022,6.72
2018-06-05,190.44,192.38,189.7,191.94,4231253.0,0.1073,1.8186,1.7113,63.5035,-5.2569,19.0517,2.15
2018-06-04,188.22,191.54,187.97,191.36,4103328.0,-0.1065,1.578,1.6845,62.5521,-2.3904,18.3544,3.94
2018-06-01,187.21,188.83,186.52,187.35,3706248.0,-0.4041,1.3071,1.7111,55.026,-56.2827,17.8534,2.02
2018-05-31,187.16,187.36,185.25,186.55,4839948.0,-0.4616,1.3505,1.8122,53.2868,-66.7539,18.2191,0.17
2018-05-30,184.83,187.8,184.01,187.09,3976000.0,-0.4598,1.4678,1.9276,54.6104,-59.6859,19.1854,-0.89
2018-05-29,185.55,186.83,184.25,185.0,4725486.0,-0.5013,1.5412,2.0425,50.161,-82.302,20.226,-6.08
