,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,146.7,147.04,145.92,146.38,3891620.0,0.9325,0.4086,0.5239,56.1791,-39.2083,19.4495,1.67
2018-07-23,146.35,146.7,145.015,145.7,3897892.0,0.895,0.4733,0.4217,54.4487,-43.3218,19.9082,1.31
2018-07-20,148.58,148.86,146.26,146.35,6415972.0,0.9034,0.6,0.3034,56.4264,-33.9546,20.5452,3.87
2018-07-19,147.85,150.54,147.25,149.24,14655804.0,0.8347,0.6813,0.1534,66.3812,-10.5348,20.5542,7.81
2018-07-18,143.51,144.8,142.7351,144.52,6935288.0,0.4407,0.4576,-0.0169,54.1008,-27.2266,19.9913,4.95
2018-07-17,144.75,145.0,143.34,143.49,5096741.0,0.4119,0.5432,-0.1313,50.4318,-36.6205,20.9056,3.63
2018-07-16,145.67,145.79,144.21,145.46,3468817.0,0.4741,0.7412,-0.2671,58.776,-15.9488,22.253,5.76
2018-07-13,146.45,146.9799,145.8,145.9,3067638.0,0.346,0.7984,-0.4525,60.8645,-11.3317,23.6788,5.86
2018-07-12,145.85,146.83,145.74,146.45,3119505.0,0.1326,0.7846,-0.6521,63.4829,-4.0512,24.0758,8.97
2018-07-11,144.0,146.19,144.0,144.94,3526565.0,-0.1977,0.6506,-0.8482,58.9847,-14.3021,24.5828,5.86
2018-07-10,144.51,145.59,144.255,144.71,3776991.0,-0.4626,0.5483,-1.0109,58.2574,-10.8108,25.4638,5.92
2018-07-09,142.59,144.72,142.47,144.39,3904652.0,-0.7705,0.3774,-1.1479,57.2788,-4.5392,26.7344,3.11
2018-07-06,141.53,142.94,141.17,142.48,2910426.0,-1.1198,0.1224,-1.2423,50.8985,-28.8543,28.5886,1.23
2018-07-05,140.48,141.43,139.93,141.43,3744730.0,-1.3549,-0.082,-1.2729,46.8463,-50.3741,29.8533,-1.2
2018-07-03,140.65,140.94,139.3678,139.57,1963232.0,-1.5283,-0.276,-1.2524,38.4972,-77.7545,30.0441,-4.33
2018-07-02,138.28,140.22,138.2,139.86,3405642.0,-1.5381,-0.3547,-1.1834,39.3931,-75.9481,29.8315,-4.62
2018-06-29,140.32,141.359,139.61,139.7,3753684.0,-1.5576,-0.4629,-1.0947,38.6618,-77.6564,28.9712,-5.69
2018-06-28,138.1,140.54,137.945,140.04,4523666.0,-1.5437,-0.5647,-0.979,39.6047,-74.28,28.6192,-5.16
2018-06-27,139.11,139.78,137.45,137.48,4097588.0,-1.538,-0.7002,-0.8378,27.1897,-99.7021,27.4872,-8.87
2018-06-26,139.36,139.8499,138.33,139.08,4139455.0,-1.2477,-0.585,-0.6628,30.8728,-91.342,25.5248,-7.79
2018-06-25,140.4,140.4,138.28,138.79,8937085.0,-1.022,-0.5055,-0.5165,29.2601,-94.4805,23.694,-7.79
2018-06-22,141.64,141.81,140.78,141.28,6013678.0,-0.6896,-0.2995,-0.3901,35.9465,-92.5816,21.7224,-4.86
2018-06-21,142.59,143.14,140.83,141.25,3887650.0,-0.5087,-0.1935,-0.3153,35.7823,-93.722,20.522,-4.11
2018-06-20,144.22,144.52,142.41,142.63,3329917.0,-0.2674,-0.0005,-0.2669,40.1814,-82.8814,19.2505,-2.08
2018-06-19,143.12,144.22,142.95,143.9,3487015.0,-0.096,0.1707,-0.2668,44.8985,-55.9505,18.6021,0.2
2018-06-18,144.18,144.52,143.14,144.48,4286406.0,-0.0052,0.3042,-0.3094,47.2507,-46.9861,18.1797,1.44
2018-06-15,144.9,145.47,143.7,145.39,9116048.0,0.0517,0.4372,-0.3855,51.1554,-29.1382,17.8209,3.44
2018-06-14,146.65,146.98,145.09,145.2,3326343.0,0.031,0.5258,-0.4948,50.3601,-31.7373,17.7147,3.89
2018-06-13,146.79,147.47,146.2,146.35,2968180.0,0.0234,0.6496,-0.6262,55.4328,-16.0055,18.359,3.73
2018-06-12,147.1,147.52,146.62,146.87,2640515.0,-0.1037,0.6849,-0.7887,57.8808,-8.8919,19.747,5.65
2018-06-11,146.62,147.41,146.14,146.58,3259986.0,-0.3174,0.6425,-0.9599,56.895,-11.5278,21.0124,2.94
2018-06-08,145.0,146.43,144.37,146.14,5210468.0,-0.5559,0.5646,-1.1205,55.4252,-8.6287,22.4413,2.07
2018-06-07,145.0,146.7,144.93,145.36,4316484.0,-0.8076,0.4541,-1.2617,52.7745,-20.6471,23.7592,0.69
2018-06-06,144.34,144.72,143.54,144.71,3220139.0,-1.0375,0.3376,-1.3752,50.4965,-24.9249,25.4988,-0.38
2018-06-05,143.05,144.08,143.04,143.7,2836017.0,-1.2498,0.2098,-1.4596,46.7935,-41.7751,26.0592,-1.79
2018-06-04,142.3,143.17,142.18,143.04,3035257.0,-1.3997,0.1123,-1.512,44.2636,-52.7861,26.1777,-1.04
2018-06-01,142.43,142.84,141.62,141.95,3857530.0,-1.5035,0.0366,-1.5401,39.8798,-70.971,25.5794,-2.55
2018-05-31,142.81,142.81,141.05,141.31,6830256.0,-1.5032,0.0461,-1.5493,37.1862,-81.6483,24.6653,-3.32
2018-05-30,141.9,143.1,141.82,142.62,5118530.0,-1.4157,0.1451,-1.5608,40.6477,-59.7931,23.6575,-1.12
2018-05-29,142.53,142.89,140.21,141.22,4537638.0,-1.4168,0.1803,-1.5971,34.6071,-83.1498,22.8389,-3.08
2018-05-25,143.9,144.57,143.46,143.64,4914294.0,-1.255,0.3871,-1.6421,41.3643,-52.0715,21.8095,-0.5
2018-05-24,144.39,144.48,142.95,144.07,3398701.0,-1.2767,0.4622,-1.7389,42.7413,-43.3387,21.972,-0.17
2018-05-23,144.35,144.7,143.48,144.67,3459747.0,-1.3297,0.5248,-1.8544,44.6679,-25.8947,22.0852,2.06
2018-05-22,145.52,146.204,145.0,145.09,2284020.0,-1.4389,0.5467,-1.9856,46.0161,-17.6713,22.4399,2.09
