,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,52.76,53.3,52.075,52.18,17785944.0,-0.1772,0.2197,-0.3969,50.7595,-31.5493,16.2809,0.02
2018-07-23,51.77,52.495,51.33,52.31,15945470.0,-0.2217,0.2302,-0.4518,51.7226,-6.0359,17.4033,0.45
2018-07-20,51.83,52.07,51.33,51.91,17387554.0,-0.2884,0.2209,-0.5094,48.9554,-15.6164,17.8566,0.54
2018-07-19,51.6,52.01,51.05,51.98,15954636.0,-0.3287,0.2359,-0.5646,49.4157,-13.6986,17.7405,1.23
2018-07-18,51.87,51.97,51.465,51.72,14649019.0,-0.3825,0.2411,-0.6236,47.7204,-19.0955,17.5299,2.25
2018-07-17,51.05,51.8785,51.01,51.75,15754472.0,-0.4191,0.2647,-0.6839,47.8924,-18.3417,17.6926,1.55
2018-07-16,52.15,52.32,51.87,52.01,15951549.0,-0.4628,0.2873,-0.75,49.3228,-11.809,17.7506,2.3
2018-07-13,52.4,52.42,51.76,52.22,13750255.0,-0.5383,0.2836,-0.8219,50.453,-6.5327,18.6457,2.97
2018-07-12,52.05,52.48,51.73,52.35,20292712.0,-0.6482,0.2446,-0.8928,51.1264,-16.122,19.6097,3.59
2018-07-11,51.69,51.87,51.19,51.2,18665554.0,-0.7922,0.1617,-0.9539,45.1082,-55.2239,20.6479,1.53
2018-07-10,52.1,52.26,51.84,52.16,17362901.0,-0.8475,0.1468,-0.9943,49.8681,-39.3035,21.1134,1.45
2018-07-09,51.64,51.89,51.0,51.86,21361609.0,-1.0035,0.0275,-1.031,48.2846,-44.2786,22.179,-0.64
2018-07-06,50.77,51.5,50.4,51.37,19968048.0,-1.1574,-0.1195,-1.0379,45.6823,-52.4046,22.9342,-0.82
2018-07-05,49.98,50.96,49.75,50.75,26163528.0,-1.2872,-0.2791,-1.008,42.2692,-67.2965,23.3256,-2.71
2018-07-03,50.58,50.86,49.43,49.47,16327904.0,-1.3709,-0.4327,-0.9383,34.3625,-86.8207,23.14,-3.46
2018-07-02,49.04,50.27,48.83,50.2,23755548.0,-1.3276,-0.4975,-0.8301,37.0497,-76.9022,22.8274,-3.02
2018-06-29,49.53,50.11,49.5,49.71,28906523.0,-1.3273,-0.6215,-0.7057,33.8242,-83.5598,21.8237,-5.4
2018-06-28,48.58,49.49,48.5,49.25,29055690.0,-1.2576,-0.7073,-0.5503,30.7301,-89.8098,21.1248,-6.29
2018-06-27,49.34,50.06,48.75,48.76,33338795.0,-1.1037,-0.7301,-0.3735,27.3713,-99.8594,19.6542,-6.27
2018-06-26,49.95,50.41,49.36,49.67,37543003.0,-0.8412,-0.6502,-0.191,29.8689,-95.9424,18.1966,-5.15
2018-06-25,51.17,51.75,49.91,50.71,45356466.0,-0.5866,-0.5581,-0.0284,33.0714,-88.8112,16.9397,-3.81
2018-06-22,52.62,53.09,52.3,52.5,34682074.0,-0.359,-0.4701,0.1111,39.9104,-88.1679,15.882,-2.55
2018-06-21,54.38,54.53,51.94,52.19,44435555.0,-0.2455,-0.4741,0.2286,37.8433,-94.5799,16.3993,-3.69
2018-06-20,53.19,53.745,52.69,53.46,21403035.0,-0.0656,-0.4127,0.3472,43.5411,-72.3752,16.9563,-3.57
2018-06-19,52.14,52.95,51.88,52.93,31780850.0,0.0358,-0.4146,0.4503,40.0429,-81.6418,16.7461,-3.6
2018-06-18,54.3,54.3,52.34,53.22,40764444.0,0.2185,-0.3354,0.554,41.3445,-83.2684,15.6012,-3.61
2018-06-15,55.17,55.38,54.58,55.11,39194688.0,0.4191,-0.2187,0.6378,51.4689,-73.6647,14.6662,-1.97
2018-06-14,55.45,55.86,55.18,55.54,23419829.0,0.4766,-0.2159,0.6925,54.2768,-60.941,15.5724,0.34
2018-06-13,54.98,55.7,54.91,55.03,22631436.0,0.4993,-0.2472,0.7465,51.354,-74.0597,16.2926,-0.65
2018-06-12,54.87,55.03,54.22,54.82,23294943.0,0.5729,-0.2353,0.8083,50.1352,-73.9327,17.2394,-0.5
2018-06-11,54.8,55.09,54.26,54.52,25752361.0,0.6799,-0.1872,0.8671,48.4209,-81.9125,18.1208,-0.92
