,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,127.24,129.62,127.15,129.36,7158802.0,0.9727,1.2064,0.2337,62.0923,-16.1423,20.3803,1.98
2018-07-23,125.75,126.68,125.45,126.63,4631107.0,0.9143,1.0189,0.1046,55.322,-42.1336,19.5173,0.58
2018-07-20,125.3,126.14,125.12,125.85,5862442.0,0.8882,1.0428,0.1546,53.0997,-44.9664,19.7569,0.1
2018-07-19,127.53,127.7,125.87,125.94,5984636.0,0.8495,1.1375,0.288,53.3842,-44.1035,20.2681,0.94
2018-07-18,128.81,129.05,127.17,127.8,7152355.0,0.7775,1.2327,0.4551,59.5023,-26.2704,20.353,5.09
2018-07-17,128.53,130.54,127.5638,129.11,12858746.0,0.6638,1.1468,0.483,64.3234,-13.7105,19.5807,7.53
2018-07-16,126.0,126.1,124.16,124.69,7314433.0,0.543,0.8872,0.3442,52.1858,-43.4568,18.4759,3.35
2018-07-13,125.32,127.5,125.32,125.93,8252131.0,0.457,0.9929,0.536,57.2606,-28.1481,19.3121,3.93
2018-07-12,127.71,128.21,127.17,127.76,6198989.0,0.323,0.9872,0.6642,66.0646,-5.5556,19.3263,6.15
2018-07-11,127.41,127.4401,126.06,126.24,4827374.0,0.1569,0.7792,0.6223,61.4989,-17.274,17.6143,3.89
2018-07-10,126.37,127.52,126.11,127.38,5075638.0,0.0013,0.6572,0.6558,67.857,-1.8893,16.1236,4.79
2018-07-09,126.22,126.75,125.6,126.05,6706121.0,-0.1626,0.3758,0.5384,63.8029,-10.5422,14.4681,3.21
2018-07-06,125.16,125.92,124.61,125.75,7312163.0,-0.2972,0.1465,0.4438,62.8207,-2.926,13.0356,4.3
2018-07-05,123.6,125.12,123.23,125.0,7319147.0,-0.4082,-0.1176,0.2906,60.3213,-2.3952,11.8989,2.96
2018-07-03,121.65,123.46,121.26,122.71,4248060.0,-0.4808,-0.3767,0.1041,50.9778,-22.3881,11.0965,0.14
2018-07-02,121.34,121.73,120.11,121.58,5481356.0,-0.5069,-0.4687,0.0381,45.0487,-63.0653,11.2568,0.26
2018-06-29,122.24,123.18,121.19,121.34,7728480.0,-0.5164,-0.4643,0.0521,43.7059,-71.6146,11.4238,-1.27
2018-06-28,121.78,122.41,121.07,122.0,5296978.0,-0.5294,-0.4275,0.1019,46.6146,-57.2127,12.0899,-0.41
2018-06-27,122.13,122.97,121.4527,121.61,5666040.0,-0.5549,-0.4415,0.1134,44.5912,-70.4026,12.5262,-1.02
2018-06-26,122.49,122.89,121.6,122.35,5496350.0,-0.5832,-0.4133,0.1699,47.782,-54.2982,13.3241,-0.19
2018-06-25,122.82,123.43,121.51,122.59,8170503.0,-0.6257,-0.4466,0.1791,48.8344,-49.0751,14.308,-0.07
2018-06-22,121.68,123.38,121.65,122.84,10305307.0,-0.6705,-0.507,0.1635,49.8974,-43.6344,15.3675,-1.22
2018-06-21,121.83,122.24,121.11,121.45,4417154.0,-0.7114,-0.6022,0.1092,43.5539,-73.8847,16.4855,-1.88
2018-06-20,122.42,122.66,121.66,122.04,6277185.0,-0.7387,-0.5734,0.1653,45.8415,-57.5385,16.9323,-0.75
2018-06-19,120.66,123.1735,120.57,122.57,8572409.0,-0.78,-0.5884,0.1916,47.9419,-42.8841,17.7905,1.09
2018-06-18,121.61,121.8125,120.25,121.32,6787408.0,-0.8279,-0.6529,0.175,42.1355,-66.4467,18.7146,-0.63
2018-06-15,122.1,122.7285,121.2401,122.61,13173510.0,-0.8717,-0.5985,0.2731,47.1781,-35.9094,18.6313,1.35
2018-06-14,122.71,123.15,122.09,122.41,5239195.0,-0.9399,-0.6518,0.2882,46.2521,-39.1228,19.1483,2.79
2018-06-13,123.15,124.09,122.46,122.63,5836904.0,-1.012,-0.6898,0.3222,47.0954,-35.588,20.2815,1.66
2018-06-12,123.16,123.18,121.95,122.54,5227303.0,-1.0925,-0.7508,0.3417,46.7264,-37.0341,21.7637,3.14
2018-06-11,124.27,124.34,122.55,122.66,5571389.0,-1.178,-0.8085,0.3694,47.1335,-35.106,22.6721,1.19
2018-06-08,123.36,124.845,123.33,124.06,6208077.0,-1.2703,-0.8827,0.3876,52.0445,-14.602,24.0472,1.81
2018-06-07,123.0,123.49,122.27,123.33,7414082.0,-1.3672,-1.107,0.2602,49.4966,-26.0637,25.7216,-0.12
2018-06-06,121.97,122.79,121.4616,122.79,6799291.0,-1.4323,-1.3029,0.1293,47.5838,-40.1779,26.8517,-0.12
2018-06-05,122.05,122.555,120.9,121.48,5125356.0,-1.4646,-1.4791,-0.0145,42.6943,-60.7226,27.4717,-2.24
2018-06-04,121.85,122.37,121.02,121.95,4853030.0,-1.461,-1.549,-0.088,44.0637,-54.2657,27.9358,-2.29
2018-06-01,120.38,121.32,119.97,121.26,5741030.0,-1.439,-1.6635,-0.2245,41.5061,-70.6419,28.2809,-2.59
2018-05-31,120.92,121.25,119.54,119.62,10337475.0,-1.3829,-1.7153,-0.3324,34.9409,-88.8864,27.7448,-5.73
2018-05-30,120.12,121.58,119.54,120.97,6423721.0,-1.2998,-1.5894,-0.2896,38.2198,-73.8681,27.1056,-4.16
2018-05-29,120.5,120.8,118.621,119.4,9821920.0,-1.2274,-1.5431,-0.3157,31.253,-91.3339,26.4172,-6.66
2018-05-25,121.56,122.8,121.13,121.47,4594795.0,-1.1484,-1.3017,-0.1532,36.259,-94.7531,25.0409,-5.77
2018-05-24,123.22,123.39,121.55,122.25,6923611.0,-1.1101,-1.1853,-0.0752,38.4117,-88.4488,24.5068,-3.1
2018-05-23,122.87,123.97,122.74,123.45,4940832.0,-1.0913,-1.099,-0.0077,41.9716,-70.2703,24.118,-0.06
2018-05-22,123.8,124.24,122.76,122.91,7172652.0,-1.0894,-1.0951,-0.0057,39.6339,-74.2496,24.2597,0.3
2018-05-21,124.62,124.99,123.32,123.72,5558662.0,-1.088,-1.0192,0.0688,41.9901,-61.4534,24.4218,0.13
2018-05-18,123.78,124.44,123.28,124.24,5433919.0,-1.1052,-0.9899,0.1153,43.5328,-53.2385,24.8592,0.05
2018-05-17,125.49,125.59,123.55,123.85,6473359.0,-1.134,-0.9911,0.1429,42.05,-66.6234,24.9496,0.82
