,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,113.55,114.78,113.42,114.15,14000129.0,1.3352,0.3676,0.9677,68.0091,-5.0079,23.0394,7.53
2018-07-23,111.06,114.24,110.93,113.35,18140010.0,1.0335,0.1257,0.9078,66.3331,-7.392,21.6199,6.07
2018-07-20,110.0,111.74,109.78,111.28,13582631.0,0.7148,-0.1013,0.8161,61.4852,-8.4677,20.2681,7.22
2018-07-19,111.06,111.09,109.73,109.89,16775305.0,0.5084,-0.3053,0.8137,57.6859,-22.4798,19.7643,6.17
2018-07-18,110.42,112.12,110.2,111.53,14244944.0,0.379,-0.5087,0.8878,64.6756,-5.9476,19.5126,7.92
2018-07-17,110.69,110.93,109.7499,110.5,14821876.0,0.0414,-0.7307,0.7721,61.9897,-4.9255,18.9014,5.42
2018-07-16,107.05,110.77,106.98,110.58,24662621.0,-0.2852,-0.9237,0.6385,62.3315,-2.217,18.7582,6.38
2018-07-13,107.3,107.8,105.14,106.36,21303844.0,-0.7061,-1.0834,0.3773,48.3925,-32.9032,18.675,1.43
2018-07-12,107.42,107.56,105.97,106.85,12456754.0,-0.8033,-1.1777,0.3744,50.4035,-25.0,20.0871,3.61
2018-07-11,106.31,107.06,106.21,106.39,10186482.0,-0.9656,-1.2713,0.3057,48.5393,-32.4194,21.1214,1.53
2018-07-10,108.02,108.4,106.53,106.62,14575873.0,-1.1119,-1.3477,0.2358,49.4014,-31.3665,22.5271,1.83
2018-07-09,104.71,107.46,104.71,107.28,13900793.0,-1.3059,-1.4066,0.1007,51.8555,-21.118,23.8451,1.53
2018-07-06,103.12,104.5,102.2,104.06,12173700.0,-1.6017,-1.4318,-0.1699,37.8741,-71.118,25.5673,-3.45
2018-07-05,104.13,104.38,103.53,103.72,10723412.0,-1.6281,-1.3893,-0.2388,36.0532,-88.9693,25.3266,-3.82
2018-07-03,105.41,105.775,103.52,103.61,8311680.0,-1.6035,-1.3296,-0.2739,35.4852,-93.1034,25.7594,-3.94
2018-07-02,103.72,105.09,103.38,105.08,11130044.0,-1.5376,-1.2612,-0.2764,39.8813,-76.3647,26.2254,-3.1
