,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,44.78,45.27,44.61,45.26,13784934.0,0.4215,0.4477,0.0262,63.0476,-13.0769,29.9244,0.29
2018-07-23,45.28,45.36,44.7742,44.95,9055748.0,0.4149,0.4456,0.0307,59.4458,-33.3333,30.0528,0.55
2018-07-20,45.02,45.28,44.9,45.28,9059143.0,0.4073,0.468,0.0608,65.784,-8.1081,29.4718,0.64
2018-07-19,44.99,45.43,44.92,45.11,10097454.0,0.3921,0.4563,0.0642,63.9451,-15.0943,28.2671,0.45
2018-07-18,45.19,45.285,44.84,45.12,7351566.0,0.376,0.4519,0.0759,64.1334,-12.1622,26.8788,1.13
2018-07-17,44.75,45.39,44.68,45.25,11592240.0,0.3571,0.4388,0.0817,66.4968,-5.8333,25.6231,1.5
2018-07-16,44.73,44.8,44.53,44.73,5831418.0,0.3366,0.4023,0.0657,61.1838,-13.4328,24.2709,0.87
2018-07-13,44.7,44.78,44.465,44.74,5585980.0,0.3202,0.403,0.0828,61.3575,-12.9353,23.9306,1.27
2018-07-12,44.83,44.96,44.49,44.67,6331623.0,0.2995,0.3969,0.0974,60.6308,-16.4179,23.6085,1.6
2018-07-11,44.99,45.0,44.64,44.79,7715616.0,0.2752,0.3905,0.1153,62.5019,-10.2941,23.1681,1.46
2018-07-10,44.51,45.0,44.5,44.97,10606148.0,0.2463,0.3644,0.1181,65.3092,-1.4706,22.138,1.39
2018-07-09,44.54,44.73,44.34,44.4,7373065.0,0.2168,0.3075,0.0907,60.0304,-27.2727,21.0287,1.15
2018-07-06,44.67,44.94,44.575,44.64,8751372.0,0.1941,0.2884,0.0943,63.8277,-15.1515,20.2973,1.55
2018-07-05,44.16,44.67,44.13,44.66,11652987.0,0.1706,0.2354,0.0648,64.1417,-0.5848,18.6752,1.4
2018-07-03,44.06,44.33,43.99,43.99,8214329.0,0.1544,0.1623,0.008,57.6636,-24.8175,17.367,0.39
2018-07-02,43.78,44.16,43.58,43.75,9232583.0,0.1524,0.1349,-0.0175,54.9569,-49.359,16.5932,0.2
2018-06-29,43.57,44.1,43.31,43.86,11485550.0,0.1568,0.1223,-0.0344,56.494,-42.3077,16.1137,-0.26
2018-06-28,43.24,43.675,43.17,43.47,12668917.0,0.1654,0.0934,-0.072,52.0815,-67.3077,15.7231,-0.11
