,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,159.24,159.58,157.52,157.94,3386410.0,-0.924,0.0807,-1.0047,44.529,-53.3333,21.9344,-2.68
2018-07-23,157.8,158.83,157.04,158.75,2754730.0,-0.9344,0.0905,-1.0248,46.9355,-39.1228,21.9445,-1.19
2018-07-20,157.2,158.35,156.28,157.97,2697080.0,-1.0165,0.0309,-1.0475,44.2409,-52.807,21.4594,-1.45
2018-07-19,157.59,158.64,157.11,157.41,4869720.0,-1.0272,0.028,-1.0552,42.2872,-62.6316,20.6165,0.09
2018-07-18,159.85,159.87,157.81,157.93,3824040.0,-0.9689,0.0933,-1.0622,43.6046,-51.8707,19.9949,1.45
2018-07-17,158.56,160.0,158.56,159.75,1877482.0,-0.9332,0.1523,-1.0855,48.5168,-20.9184,19.5723,2.88
2018-07-16,158.62,159.28,157.96,158.78,2818313.0,-1.0595,0.0641,-1.1236,45.477,-45.5218,19.3861,2.09
2018-07-13,157.4,158.76,155.28,158.51,5187544.0,-1.1065,0.0331,-1.1396,44.6321,-56.8354,18.7762,2.19
2018-07-12,159.15,159.775,158.82,159.12,2360824.0,-1.1229,0.025,-1.1479,46.1319,-59.9602,17.8241,1.7
2018-07-11,158.89,159.71,157.7,158.62,3203795.0,-1.1896,-0.0355,-1.1541,44.7179,-64.9402,18.0454,-2.29
2018-07-10,159.83,160.98,159.46,160.62,2187530.0,-1.2065,-0.0613,-1.1452,49.5487,-47.0757,18.2481,0.81
2018-07-09,160.47,160.8,159.37,159.94,2477291.0,-1.4142,-0.2842,-1.1299,47.7673,-53.5954,19.2,-4.61
2018-07-06,157.77,160.57,157.45,159.42,3441328.0,-1.5894,-0.5306,-1.0589,46.424,-62.3693,20.137,-1.11
2018-07-05,156.9,157.67,156.5,157.32,2248320.0,-1.7371,-0.8108,-0.9262,40.7054,-80.6957,21.039,-5.24
2018-07-03,157.36,157.82,156.31,156.48,1437699.0,-1.6864,-0.9629,-0.7235,38.2576,-89.2523,20.5121,-8.49
2018-07-02,155.99,156.87,155.45,156.87,3023959.0,-1.5117,-1.0289,-0.4828,38.9508,-86.215,19.9446,-9.41
2018-06-29,156.76,157.95,156.07,156.69,4024512.0,-1.3065,-1.0809,-0.2256,38.473,-87.6168,18.8076,-9.77
2018-06-28,157.25,157.33,155.1,156.32,4136532.0,-1.0072,-1.0518,0.0447,37.5399,-91.2482,17.7512,-10.73
2018-06-27,159.05,160.49,157.38,157.42,4961158.0,-0.5728,-0.8804,0.3076,39.1802,-99.7179,16.2864,-9.16
2018-06-26,160.01,161.855,159.8,160.91,3375117.0,-0.1221,-0.6498,0.5277,44.9691,-84.4568,15.3072,-5.82
2018-06-25,163.0,163.0,158.95,159.81,6126774.0,0.0997,-0.5905,0.6902,42.4819,-93.18,15.0064,-6.68
2018-06-22,161.27,165.14,161.26,164.55,10927291.0,0.4932,-0.3446,0.8378,51.8606,-55.7234,14.6825,-4.36
2018-06-21,163.29,163.6,159.541,160.53,4655807.0,0.5057,-0.4183,0.924,41.7296,-87.6789,15.1301,-8.95
2018-06-20,164.91,165.53,162.37,162.56,3649511.0,0.9237,-0.1049,1.0285,46.2985,-71.5421,14.8904,0.18
2018-06-19,164.62,165.51,164.24,164.97,3350429.0,1.237,0.1822,1.0548,52.6535,-52.3847,15.7161,5.49
2018-06-18,165.53,166.58,163.81,166.28,4297727.0,1.3735,0.3643,1.0092,56.5731,-41.9714,16.3727,6.06
2018-06-15,166.1,166.6,164.59,166.46,7384360.0,1.3944,0.4763,0.9181,57.1155,-40.5405,17.0797,7.3
2018-06-14,167.04,167.94,166.68,167.05,2389963.0,1.3825,0.5834,0.7991,58.8326,-35.8506,17.4748,7.04
2018-06-13,166.99,167.61,166.55,166.58,3140508.0,1.2871,0.6338,0.6532,57.8963,-39.5866,16.83,4.76
2018-06-12,166.82,167.24,166.2301,166.73,2985260.0,1.1944,0.6996,0.4948,58.2892,-38.3943,16.2414,6.11
2018-06-11,169.04,169.04,166.26,166.49,3246464.0,1.0435,0.7237,0.3198,57.8644,-40.3021,15.7221,3.28
2018-06-08,169.02,171.56,168.46,168.91,5056578.0,0.8602,0.7212,0.1389,63.9638,-21.0652,15.1488,6.52
2018-06-07,163.75,170.0,163.69,169.48,8342535.0,0.3672,0.4086,-0.0414,65.4733,-4.7187,13.4647,7.86
