,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,62.9,63.44,62.82,63.42,9476153.0,0.5193,0.5759,0.0566,64.8478,-0.8511,22.1475,1.12
2018-07-23,62.57,62.78,62.51,62.69,6933645.0,0.5051,0.5296,0.0245,59.4867,-14.0562,21.138,0.67
2018-07-20,62.06,62.54,62.005,62.52,6877574.0,0.499,0.5372,0.0382,58.1051,-16.6667,20.8489,0.32
2018-07-19,62.74,62.94,62.245,62.51,7282114.0,0.4894,0.5564,0.0669,58.0269,-16.9872,20.8681,0.87
2018-07-18,62.6,62.98,62.37,62.94,6341189.0,0.4727,0.5738,0.1011,62.6991,-3.2051,20.3683,2.23
2018-07-17,62.53,62.81,62.46,62.53,5049680.0,0.4474,0.5438,0.0964,59.8358,-15.7407,19.5568,2.07
2018-07-16,62.93,62.95,62.33,62.59,4513307.0,0.4233,0.5395,0.1161,60.4666,-13.8889,18.8769,1.89
2018-07-13,62.27,63.04,62.25,62.89,7352346.0,0.3943,0.5199,0.1256,63.5781,-4.6296,18.1446,2.59
2018-07-12,62.44,62.84,62.14,62.66,8038579.0,0.3629,0.4569,0.094,62.1931,-5.9211,17.3561,2.78
2018-07-11,62.14,62.2,61.59,61.9,5777968.0,0.3394,0.3932,0.0538,57.1991,-27.3356,16.703,1.18
2018-07-10,62.39,62.63,62.11,62.3,10750468.0,0.3259,0.3836,0.0577,61.1465,-13.4948,16.6748,1.22
2018-07-09,62.46,62.69,62.0,62.02,8325032.0,0.3115,0.325,0.0135,59.3218,-23.1834,15.7615,0.55
2018-07-06,61.8,62.505,61.79,62.2,8152041.0,0.3081,0.274,-0.0341,61.0328,-11.2754,14.7779,1.02
2018-07-05,61.4,61.955,61.09,61.64,9081174.0,0.3167,0.1866,-0.1301,57.4907,-20.0,13.8891,0.36
2018-07-03,60.74,61.3,60.55,60.71,4872655.0,0.3492,0.1293,-0.2198,50.5606,-64.6602,13.4625,-0.32
2018-07-02,60.55,60.56,59.92,60.46,9109096.0,0.4041,0.1491,-0.2551,48.4633,-79.1139,13.7187,-0.53
2018-06-29,60.53,61.465,60.35,60.7,14336926.0,0.4679,0.1975,-0.2704,50.368,-71.519,14.6004,-1.33
2018-06-28,60.11,60.75,59.99,60.3,10201891.0,0.5355,0.2321,-0.3034,47.1537,-84.1772,15.2929,-1.26
2018-06-27,60.7,61.08,59.8,59.88,10447329.0,0.6114,0.3135,-0.2979,43.5919,-97.4684,15.8713,-2.71
2018-06-26,60.83,61.02,60.61,60.72,11996088.0,0.6858,0.4556,-0.2302,49.829,-94.5148,16.4943,-1.72
2018-06-25,61.41,61.62,60.64,61.08,10550819.0,0.7434,0.5449,-0.1985,52.8375,-79.3249,17.2218,-1.25
2018-06-22,61.28,61.92,61.22,61.47,12913091.0,0.793,0.6143,-0.1787,56.2542,-62.8692,17.9595,-1.11
