,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,108.57,108.82,107.26,107.66,26307774.0,0.4923,1.9497,1.4574,69.078,-11.8487,25.0196,5.54
2018-07-23,106.3,108.14,106.13,107.97,29706955.0,0.4973,1.8316,1.3343,70.7149,-2.4838,23.4415,6.12
2018-07-20,108.08,108.2,106.08,106.27,56038827.0,0.4127,1.6226,1.21,66.6962,-18.9216,22.0157,5.11
2018-07-19,104.93,105.31,103.89,104.4,40171646.0,0.3987,1.5055,1.1068,61.2669,-24.7059,20.4802,4.64
2018-07-18,105.94,106.05,104.715,105.12,29493927.0,0.5173,1.5244,1.0071,65.0588,-14.9351,20.2316,6.07
2018-07-17,104.61,106.5,104.32,105.95,25901726.0,0.5753,1.4531,0.8778,69.6748,-5.9524,19.0975,5.94
2018-07-16,105.4,105.82,104.515,104.91,21786912.0,0.5224,1.2564,0.734,66.9462,-10.6308,17.8762,6.3
2018-07-13,104.37,105.6,104.09,105.43,24653500.0,0.4896,1.093,0.6034,69.8649,-2.0384,16.907,6.8
2018-07-12,102.77,104.41,102.73,104.19,24335929.0,0.3347,0.8157,0.481,66.6448,-3.0769,15.9767,6.65
2018-07-11,101.15,102.34,101.1,101.98,19644648.0,0.1787,0.576,0.3973,59.4791,-10.0952,15.6264,2.9
2018-07-10,102.0,102.51,101.86,102.12,19293140.0,0.1341,0.4867,0.3527,60.2404,-7.6046,16.7087,3.73
2018-07-09,101.6452,102.25,101.251,101.85,18211980.0,0.0323,0.3515,0.3192,59.3077,-12.7376,17.182,1.44
2018-07-06,99.885,101.43,99.67,101.16,19234627.0,-0.1099,0.2012,0.3111,56.909,-25.8555,17.891,0.02
2018-07-05,99.5,99.92,99.0299,99.76,18977402.0,-0.2618,0.0767,0.3385,51.5254,-52.4715,19.2238,-2.11
2018-07-03,100.48,100.63,98.94,99.05,14670275.0,-0.3447,0.0593,0.404,48.4951,-65.9696,19.2025,-1.81
2018-07-02,98.1,100.06,98.0,100.01,19564521.0,-0.3817,0.1085,0.4902,52.6255,-47.7186,19.1795,-0.85
2018-06-29,98.93,99.91,98.33,98.61,28053214.0,-0.5137,0.0719,0.5856,46.4492,-74.3346,18.5546,-1.52
2018-06-28,97.38,99.11,97.26,98.63,26650671.0,-0.5472,0.1668,0.714,46.5297,-73.9544,18.085,-2.79
2018-06-27,99.58,100.02,97.4,97.54,31298386.0,-0.5675,0.2834,0.8508,41.3912,-95.4023,16.724,-3.31
2018-06-26,98.82,100.08,98.75,99.08,26897244.0,-0.4537,0.539,0.9927,47.3624,-66.9759,15.331,-2.23
2018-06-25,100.0,100.11,97.3,98.39,35433333.0,-0.4054,0.7007,1.1061,44.0014,-79.7774,14.591,-2.66
2018-06-22,100.41,100.77,99.625,100.41,38923105.0,-0.2403,0.9671,1.2074,53.2433,-69.7248,13.7942,-1.22
