,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,76.85,77.09,75.435,75.53,6054007.0,0.7252,-0.2833,1.0086,48.3942,-96.5392,24.5164,-2.04
2018-07-23,76.71,76.95,76.13,76.59,4198227.0,0.8931,-0.1863,1.0794,54.3713,-66.8067,26.0285,-0.69
2018-07-20,76.31,77.08,76.16,76.96,5252156.0,0.9864,-0.1396,1.126,56.6387,-68.4783,26.969,0.48
2018-07-19,75.93,77.155,75.8,76.95,4875062.0,1.0535,-0.1074,1.1609,56.5932,-77.8846,27.9517,0.4
2018-07-18,77.43,77.62,76.32,76.59,6101602.0,1.1248,-0.063,1.1877,55.0179,-45.6995,29.01,0.31
2018-07-17,77.51,78.02,77.4,77.47,4355423.0,1.2361,0.0326,1.2035,59.9571,-35.8376,29.675,-0.88
2018-07-16,77.36,78.095,77.3,77.75,4755149.0,1.2706,0.0753,1.1953,61.5908,-32.9949,29.3138,-1.93
2018-07-13,77.2,77.61,77.14,77.38,2963133.0,1.2677,0.0912,1.1765,60.2622,-36.7513,28.9248,5.68
2018-07-12,77.94,78.18,77.23,77.37,4879171.0,1.2831,0.1294,1.1537,60.2277,-36.8528,28.744,6.02
2018-07-11,77.13,77.64,76.83,77.36,3656632.0,1.2852,0.1639,1.1214,60.1956,-36.9543,28.4666,4.8
2018-07-10,77.44,78.09,77.16,77.57,6281841.0,1.2702,0.1898,1.0804,61.1585,-34.8223,28.4168,5.22
2018-07-09,76.84,77.38,76.345,77.28,4871412.0,1.2112,0.1783,1.0329,60.3451,-37.7665,28.086,3.85
2018-07-06,76.48,77.08,76.07,76.48,5937030.0,1.1478,0.1595,0.9884,58.0972,-45.8883,28.0355,2.54
2018-07-05,76.62,77.42,76.14,76.55,6534450.0,1.1317,0.1832,0.9485,58.366,-45.1777,28.111,1.83
2018-07-03,77.41,77.89,76.1,76.28,5794853.0,1.0875,0.1848,0.9027,57.6644,-47.9188,28.1419,2.02
2018-07-02,78.58,79.48,77.02,78.35,11867331.0,1.0427,0.1863,0.8565,65.5254,-26.9036,28.1751,2.74
2018-06-29,78.76,81.0,78.36,79.68,31423522.0,0.7597,-0.0502,0.8099,71.3266,-13.401,27.6,3.84
2018-06-28,71.45,72.12,71.35,71.7,9118538.0,0.252,-0.5705,0.8225,43.416,-88.2979,26.0225,-3.0
2018-06-27,72.73,72.95,71.15,71.35,7623523.0,0.4128,-0.5523,0.9651,41.0803,-95.7447,26.5387,-2.76
2018-06-26,72.5,73.29,72.35,72.56,7072565.0,0.6476,-0.4555,1.1032,47.3556,-86.3406,27.0947,-1.73
2018-06-25,73.32,73.36,72.03,72.35,9064121.0,0.8148,-0.4023,1.217,46.0269,-91.7528,28.8007,-2.24
2018-06-22,73.57,74.41,73.21,73.43,9600031.0,1.0376,-0.28,1.3176,52.335,-89.5311,30.6379,-1.47
2018-06-21,73.7,74.79,73.55,73.94,5537865.0,1.1971,-0.1906,1.3876,55.6812,-63.1422,32.0695,-0.82
2018-06-20,74.2,74.91,73.97,74.72,4424934.0,1.3312,-0.1041,1.4352,61.2421,-31.4002,33.1797,-0.03
2018-06-19,74.5,74.92,73.65,74.26,7562169.0,1.4036,-0.0577,1.4613,58.9997,-35.2955,33.824,0.21
2018-06-18,75.28,75.7628,74.91,75.61,4515944.0,1.5224,0.0468,1.4757,70.0432,-6.0381,34.5178,1.78
2018-06-15,74.71,75.85,74.5,75.84,10977292.0,1.5145,0.0506,1.464,72.1806,-1.2792,33.4688,3.08
2018-06-14,74.6,75.15,74.35,74.7,4636044.0,1.459,0.0077,1.4513,67.635,-22.0817,32.3391,2.9
2018-06-13,74.27,74.9,73.99,74.11,4696163.0,1.483,0.0335,1.4494,64.877,-32.8479,31.5151,1.88
2018-06-12,74.42,74.61,74.065,74.29,4356496.0,1.552,0.111,1.4411,66.482,-29.5633,30.7756,3.37
2018-06-11,75.06,75.21,74.54,74.59,4902812.0,1.5993,0.186,1.4133,69.1286,-24.089,30.1501,2.34
2018-06-08,74.78,75.07,74.3,74.9,5524855.0,1.6059,0.2391,1.3668,71.874,-18.4321,28.826,2.72
2018-06-07,74.95,75.9101,74.65,74.76,6846263.0,1.5593,0.2522,1.307,71.3976,-20.9868,27.4687,3.42
2018-06-06,74.38,74.94,74.19,74.75,5318054.0,1.4914,0.2474,1.244,71.3654,-4.2129,25.5457,3.44
2018-06-05,73.61,74.22,73.14,74.05,4928658.0,1.3841,0.202,1.1821,69.1072,-3.6957,23.9054,2.67
2018-06-04,73.0,73.87,72.79,73.83,4581921.0,1.2982,0.1666,1.1316,68.3794,-0.7092,22.5,2.51
2018-06-01,72.12,72.95,72.12,72.76,4085865.0,1.1922,0.1023,1.09,64.6147,-13.5688,21.1711,1.82
2018-05-31,72.0,72.22,71.235,71.8,7856161.0,1.1485,0.0841,1.0644,60.7184,-30.2867,20.2627,0.46
2018-05-30,71.46,72.29,70.94,72.23,5799859.0,1.1737,0.1303,1.0434,63.6326,-20.438,19.7516,2.73
2018-05-29,71.52,71.61,70.43,70.92,5857914.0,1.145,0.1342,1.0108,57.919,-39.6299,19.2013,2.08
2018-05-25,73.1,73.49,71.63,72.25,5889721.0,1.2252,0.2479,0.9772,67.9891,-19.121,19.0501,3.82
2018-05-24,71.43,72.28,71.32,72.18,5613752.0,1.1742,0.2589,0.9153,67.7147,-1.8957,17.5109,4.26
2018-05-23,70.95,71.915,70.83,71.34,6806372.0,1.0992,0.2487,0.8505,64.3062,-15.7699,16.6055,3.39
2018-05-22,71.46,72.19,71.255,71.31,5675253.0,1.073,0.2846,0.7884,64.1808,-15.8559,15.8864,2.85
2018-05-21,71.48,71.7,70.71,71.38,5480698.0,1.027,0.3098,0.7172,64.6731,-6.3241,14.5926,2.04
