,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,37.37,37.75,37.265,37.7,16817332.0,0.0058,0.3187,0.3129,64.9594,-5.5556,22.2885,0.27
2018-07-23,37.34,37.51,37.14,37.21,19784700.0,-0.0053,0.3062,0.3115,56.6691,-36.6013,21.4633,0.05
2018-07-20,37.2,37.33,37.12,37.33,14793271.0,0.0228,0.3356,0.3128,59.8914,-24.8588,21.2093,0.22
2018-07-19,37.45,37.6,37.31,37.36,15746527.0,0.0489,0.356,0.3071,60.6925,-23.1638,21.4791,0.49
2018-07-18,37.59,37.73,37.48,37.66,19737628.0,0.079,0.3738,0.2949,69.3005,-6.2147,20.8522,1.31
2018-07-17,37.46,37.77,37.45,37.65,14933586.0,0.0855,0.3606,0.2751,69.1651,-6.7797,19.2606,1.32
2018-07-16,37.48,37.545,37.29,37.38,16972210.0,0.0858,0.3395,0.2538,65.3327,-13.2075,17.5465,1.1
2018-07-13,37.5,37.59,37.22,37.53,14456705.0,0.1028,0.3352,0.2323,69.8086,-3.7736,16.2276,1.17
2018-07-12,37.41,37.56,37.21,37.52,16105203.0,0.1028,0.3094,0.2066,69.68,-2.5641,14.8072,1.31
2018-07-11,37.25,37.405,37.16,37.21,16883598.0,0.0922,0.2731,0.1809,65.4433,-19.3333,13.3461,0.83
2018-07-10,37.3,37.5,37.2,37.43,19216190.0,0.0966,0.2544,0.1578,72.0807,-4.6667,12.1297,1.05
2018-07-09,37.27,37.47,37.01,37.16,21185382.0,0.0707,0.2044,0.1337,68.432,-19.375,10.65,0.65
2018-07-06,37.0,37.24,36.875,37.11,22547897.0,0.049,0.165,0.116,67.7063,-8.6093,9.12,0.81
2018-07-05,36.54,36.91,36.51,36.87,19346445.0,0.0137,0.1175,0.1038,64.0196,-3.3898,7.9734,0.41
2018-07-03,36.39,36.58,36.24,36.35,9115864.0,-0.0208,0.0796,0.1004,53.2914,-31.4917,7.5732,0.13
2018-07-02,36.0,36.37,36.0,36.33,13810581.0,-0.0226,0.083,0.1055,52.7887,-33.7017,8.1483,0.17
2018-06-29,36.45,36.58,36.28,36.28,19934906.0,-0.0231,0.0881,0.1112,51.5788,-39.2265,8.0032,-0.08
2018-06-28,36.11,36.485,36.11,36.36,15660460.0,-0.0185,0.0985,0.117,53.6203,-41.1215,8.4207,0.2
2018-06-27,36.3,36.55,36.18,36.21,27890386.0,-0.0194,0.1021,0.1216,50.1876,-55.1402,8.9203,-0.01
2018-06-26,36.4,36.585,36.3,36.38,24131903.0,-0.0058,0.1206,0.1265,54.427,-39.2523,9.5083,0.08
2018-06-25,36.32,36.46,36.135,36.38,19378054.0,-0.0028,0.1251,0.1279,54.427,-39.2523,9.7146,0.08
2018-06-22,36.49,36.635,36.395,36.51,26613610.0,0.0004,0.1291,0.1286,57.6372,-27.1028,10.338,-0.16
2018-06-21,36.27,36.36,36.15,36.3,16027644.0,-0.0095,0.119,0.1285,53.5254,-46.729,10.0616,-0.19
2018-06-20,36.29,36.58,36.21,36.46,20260245.0,-0.0052,0.1257,0.1309,57.472,-31.7757,10.659,0.08
2018-06-19,35.89,36.36,35.87,36.22,17537628.0,-0.0159,0.1162,0.1322,52.6046,-54.2056,11.0807,-0.22
