,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,77.54,79.01,77.54,78.99,8296980.0,0.6633,-0.1718,0.8351,55.7078,-51.0135,24.5526,-0.83
2018-07-23,78.49,78.94,78.24,78.51,5881617.0,0.7072,-0.1709,0.8781,52.7104,-73.1618,25.8861,0.65
2018-07-20,78.32,79.055,78.32,78.68,8237389.0,0.8018,-0.1189,0.9208,53.9102,-59.1101,27.5626,-0.63
2018-07-19,78.42,79.19,77.89,78.73,8010597.0,0.8936,-0.0569,0.9505,54.2474,-55.1402,29.2632,-0.48
2018-07-18,79.72,80.21,79.33,79.72,9105138.0,0.9927,0.028,0.9647,61.2973,-24.2991,31.0945,1.82
2018-07-17,79.66,80.5,79.55,80.03,8983374.0,1.004,0.0463,0.9577,63.7046,-14.6417,30.9958,1.9
2018-07-16,79.21,79.63,78.83,79.53,6931330.0,0.9722,0.026,0.9461,61.4364,-15.4717,30.5067,1.47
2018-07-13,79.08,79.47,78.9,79.31,6021695.0,0.9684,0.0287,0.9396,60.426,-22.8261,30.7515,1.26
2018-07-12,79.34,79.52,78.565,78.89,8556814.0,0.9718,0.0393,0.9325,58.4983,-33.123,31.1723,1.2
2018-07-11,79.63,79.84,79.0301,79.16,7851585.0,1.0048,0.0822,0.9226,60.2502,-17.6871,31.6254,1.16
2018-07-10,78.07,79.94,77.99,79.82,12773488.0,1.0048,0.1027,0.9021,64.6446,-2.7211,31.3831,2.03
2018-07-09,78.46,78.83,77.78,77.86,9095947.0,0.923,0.0466,0.8764,55.7435,-43.0318,31.1221,0.43
2018-07-06,79.38,79.62,78.9,79.31,7244015.0,1.0047,0.14,0.8648,67.4002,-7.3286,31.768,2.87
2018-07-05,78.14,79.25,78.12,79.21,7956147.0,0.9468,0.117,0.8298,66.9577,-1.0363,30.4872,3.36
2018-07-03,78.54,78.76,77.78,77.9,5897243.0,0.8693,0.0688,0.8005,60.4232,-25.5193,29.3802,1.57
2018-07-02,77.5,78.31,77.421,78.13,6092868.0,0.891,0.1077,0.7833,62.4362,-17.3454,28.5788,2.29
2018-06-29,77.93,78.54,77.29,78.06,7679879.0,0.8825,0.1261,0.7564,62.0792,-19.457,28.1109,0.68
2018-06-28,77.86,78.315,77.66,78.05,5714437.0,0.8658,0.141,0.7249,62.0313,-19.7587,27.607,2.06
2018-06-27,78.11,78.705,77.56,77.69,7871702.0,0.833,0.1434,0.6896,60.3584,-30.6184,26.3975,1.22
2018-06-26,77.79,78.31,77.36,78.0,9558489.0,0.8156,0.1618,0.6538,62.5626,-7.3634,25.095,0.76
