,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,124.74,125.39,123.94,124.75,1898962.0,-0.4259,-0.2909,0.1351,45.342,-66.0116,22.1913,-1.12
2018-07-23,125.55,125.55,123.58,124.24,1654698.0,-0.4597,-0.2169,0.2428,43.4106,-71.9075,22.9275,-1.16
2018-07-20,124.86,126.13,124.335,125.2,1880168.0,-0.5204,-0.0675,0.4529,46.2683,-58.0254,23.7203,2.02
2018-07-19,127.0,127.5,124.61,125.18,2796087.0,-0.6336,0.0265,0.6601,46.1998,-58.246,24.9414,2.58
2018-07-18,128.83,130.46,128.34,130.0,1460966.0,-0.7987,0.1481,0.9468,64.6476,-4.7325,26.39,7.23
2018-07-17,128.58,129.445,127.87,128.79,2028416.0,-1.0354,-0.1896,0.8458,61.0193,-7.5244,26.6443,6.4
2018-07-16,127.01,128.23,126.62,128.19,1101278.0,-1.2468,-0.4947,0.7521,59.0858,-0.534,27.4227,5.85
2018-07-13,126.17,126.79,125.4568,126.63,902101.0,-1.4348,-0.8158,0.6191,53.5197,-2.6446,28.9333,4.18
2018-07-12,126.43,126.43,125.111,126.02,1297407.0,-1.5896,-1.0549,0.5347,51.1044,-7.2056,30.834,4.68
2018-07-11,125.36,125.67,124.53,125.05,1200382.0,-1.7233,-1.2827,0.4406,47.0409,-20.1852,32.631,2.43
2018-07-10,125.59,126.14,125.39,125.87,1367042.0,-1.8334,-1.456,0.3774,50.3238,-36.5884,34.0281,2.15
2018-07-09,123.84,125.6,123.54,125.4,1130636.0,-1.9278,-1.7395,0.1882,48.4075,-42.398,36.0156,0.99
2018-07-06,122.61,123.8,121.82,123.18,1007046.0,-1.9748,-2.0282,-0.0534,37.9005,-69.8393,37.7839,-0.27
2018-07-05,123.43,123.49,121.81,122.6,1291976.0,-1.9615,-2.1412,-0.1797,34.6729,-78.5961,38.2914,-2.39
2018-07-03,123.07,124.05,122.64,122.77,659117.0,-1.9165,-2.1952,-0.2786,35.1704,-78.2655,38.5719,-5.39
2018-07-02,122.08,122.45,121.395,122.39,1095456.0,-1.8469,-2.2495,-0.4026,33.1803,-83.631,39.2266,-5.2
2018-06-29,122.49,124.02,122.1,122.34,1220595.0,-1.7462,-2.2473,-0.5011,32.9288,-84.2365,38.4948,-7.03
2018-06-28,121.04,122.825,120.74,122.45,1265779.0,-1.621,-2.2068,-0.5859,33.184,-84.093,37.9529,-6.41
2018-06-27,122.53,123.47,121.29,121.34,1055725.0,-1.4745,-2.1342,-0.6597,27.9517,-99.5169,36.1493,-8.38
2018-06-26,123.83,124.4016,122.53,122.62,1312913.0,-1.3096,-1.8975,-0.5879,30.51,-98.2571,34.352,-6.96
2018-06-25,124.31,124.92,122.46,123.72,1704702.0,-1.1626,-1.6981,-0.5355,32.914,-86.2745,32.7712,-6.78
2018-06-22,124.2,125.31,123.675,124.41,1817208.0,-1.0287,-1.5309,-0.5022,34.4971,-82.0658,31.0688,-6.91
2018-06-21,124.37,124.94,122.83,123.45,1593824.0,-0.9032,-1.3654,-0.4623,30.1569,-92.9625,29.6048,-6.32
2018-06-20,128.8,128.83,124.91,124.99,1442492.0,-0.7876,-1.0367,-0.2491,33.4594,-98.8113,27.6698,-3.78
2018-06-19,126.54,128.35,126.54,128.16,1153458.0,-0.7253,-0.7588,-0.0334,42.317,-68.2353,26.259,-1.01
2018-06-18,128.05,128.25,126.74,127.59,1689827.0,-0.717,-0.7158,0.0012,39.6494,-82.6531,25.42,-2.13
2018-06-15,128.06,129.43,127.76,129.37,3281489.0,-0.7173,-0.5924,0.1249,45.7898,-54.9637,24.6083,0.08
2018-06-14,129.94,130.08,128.75,128.86,1218983.0,-0.7485,-0.6077,0.1409,43.4602,-67.3123,24.2217,0.34
2018-06-13,130.03,130.82,129.23,129.72,1170220.0,-0.7837,-0.5663,0.2174,46.5956,-46.4891,24.3354,-0.45
2018-06-12,130.51,130.89,129.1,129.58,1088350.0,-0.8381,-0.5929,0.2452,46.0068,-49.8789,24.732,1.37
2018-06-11,131.34,131.49,130.44,130.5,807750.0,-0.8994,-0.6039,0.2955,49.3253,-34.2857,25.1592,-0.53
2018-06-08,129.99,131.64,129.55,131.32,1606433.0,-0.9733,-0.7028,0.2704,52.4569,-16.2637,26.3956,0.67
2018-06-07,128.37,130.08,127.64,129.77,1463273.0,-1.0409,-0.9024,0.1385,46.4944,-50.3297,27.7273,-1.13
