,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,254.86,254.96,252.01,253.76,2476529.0,1.4134,-0.3123,1.7257,53.8192,-41.2069,16.3426,-1.78
2018-07-23,252.91,255.23,252.43,252.74,1479621.0,1.4818,-0.322,1.8038,52.0694,-49.2128,17.3566,-0.93
2018-07-20,251.17,253.55,251.17,252.7,2014299.0,1.6513,-0.2329,1.8843,52.0032,-42.3774,18.3142,1.94
2018-07-19,255.32,256.5,251.85,252.93,2307632.0,1.8478,-0.0947,1.9425,52.3897,-40.8328,19.6095,2.43
2018-07-18,251.11,256.61,250.44,255.42,3359842.0,2.0483,0.0821,1.9662,56.62,-21.3945,21.0353,8.44
2018-07-17,251.55,252.52,246.2694,250.29,6932309.0,2.0208,0.0752,1.9456,48.6945,-51.9666,22.5707,2.81
2018-07-16,258.29,258.45,256.435,256.98,3625425.0,2.4787,0.5519,1.9268,62.528,-12.0977,23.21,11.64
2018-07-13,256.39,259.01,256.02,258.7,2356197.0,2.346,0.5571,1.7889,67.0774,-1.8474,22.4184,13.8
2018-07-12,256.18,256.82,254.92,256.05,1592817.0,1.9672,0.3177,1.6496,63.2523,-5.7941,21.5658,7.88
2018-07-11,255.14,256.0,253.735,254.59,1486018.0,1.7251,0.1549,1.5702,60.9301,-15.7464,21.2381,4.82
2018-07-10,254.18,256.9,253.75,255.54,2012223.0,1.5395,0.0081,1.5314,63.3489,-9.2706,21.1237,4.83
2018-07-09,252.13,254.01,251.05,253.67,2039553.0,1.1836,-0.3458,1.5294,60.4814,-11.3178,20.9938,-0.7
2018-07-06,251.01,251.73,249.4212,250.76,1572267.0,0.9025,-0.7134,1.6159,55.4443,-33.876,21.7187,-1.13
2018-07-05,249.11,250.9262,247.58,250.5,2183067.0,0.8269,-0.9673,1.7942,54.9681,-39.8545,23.3118,-2.31
2018-07-03,248.3,248.75,246.74,246.98,1247991.0,0.7448,-1.2913,2.036,47.9782,-65.4797,24.8727,-6.04
2018-07-02,245.0,247.73,244.12,247.48,1793431.0,0.9876,-1.3713,2.3588,48.981,-63.7931,25.6506,-7.39
2018-06-29,244.9,247.4999,244.6,245.34,2787779.0,1.2322,-1.4695,2.7017,44.3591,-78.5517,26.0276,-10.64
2018-06-28,247.13,248.0,242.23,244.9,3556904.0,1.7444,-1.3247,3.069,43.3798,-81.5862,26.5759,-10.43
