,1. open,2. high,3. low,4. close,5. volume,MACD_Signal,MACD,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,129.15,134.33,128.3,134.24,8116993.0,1.0142,1.6006,0.5864,69.5656,-0.8419,17.1951,7.18
2018-07-23,129.89,130.125,128.87,129.37,3859648.0,0.8676,1.2598,0.3923,57.615,-36.368,15.7753,2.69
2018-07-20,129.97,130.98,129.875,130.26,3216640.0,0.7695,1.3024,0.5329,61.7282,-24.9861,15.775,4.86
2018-07-19,131.34,131.55,130.27,130.36,2574095.0,0.6363,1.2472,0.611,62.1915,-23.9384,15.1192,5.41
2018-07-18,131.01,132.6449,130.92,131.69,3756727.0,0.4835,1.1484,0.6649,68.5442,-10.0043,14.1492,6.77
2018-07-17,129.18,131.0,129.18,130.71,4709724.0,0.3173,0.8703,0.553,66.1805,-3.6709,12.6719,5.68
2018-07-16,129.54,130.3,128.78,128.98,4062187.0,0.1791,0.6023,0.4232,61.4297,-18.3333,11.6726,3.95
2018-07-13,127.55,129.84,127.3,129.51,4643298.0,0.0732,0.4277,0.3544,63.9867,-4.8961,10.8697,4.91
2018-07-12,125.96,127.49,125.02,127.35,4612797.0,-0.0154,0.1446,0.16,57.2529,-16.1736,10.1849,2.99
2018-07-11,125.82,125.82,124.22,124.88,3653882.0,-0.0553,0.0011,0.0565,46.6631,-64.8915,10.4726,-0.76
2018-07-10,126.84,128.17,126.555,127.06,3198926.0,-0.0695,0.0695,0.1389,58.5505,-21.8935,10.8879,2.45
2018-07-09,126.01,126.99,125.81,126.68,3398717.0,-0.1042,-0.0663,0.0379,56.7678,-16.1593,10.7265,1.81
2018-07-06,124.85,125.85,124.11,125.4,2306735.0,-0.1137,-0.1999,-0.0862,50.0484,-48.7751,11.2088,1.92
2018-07-05,125.92,125.92,123.64,124.95,3434300.0,-0.0921,-0.2372,-0.145,47.3785,-58.7973,11.7051,-0.41
2018-07-03,125.87,126.97,124.76,124.92,2466001.0,-0.0559,-0.2355,-0.1796,47.2038,-60.7335,12.2396,-0.13
2018-07-02,123.87,125.04,123.1,125.03,4220715.0,-0.011,-0.2268,-0.2159,47.7434,-61.8577,12.8953,-2.46
2018-06-29,124.86,126.44,124.82,125.03,3810934.0,0.043,-0.2237,-0.2667,47.7434,-66.8459,12.9439,-1.88
2018-06-28,124.03,125.01,123.48,124.6,3282471.0,0.1097,-0.2165,-0.3262,45.649,-74.552,13.8086,-2.34
2018-06-27,126.39,127.37,124.34,124.36,5201652.0,0.1912,-0.1604,-0.3516,44.4961,-78.853,13.9424,-2.58
2018-06-26,124.99,126.33,124.1717,125.64,5580596.0,0.2791,-0.062,-0.3411,49.7192,-55.914,14.6606,-2.21
2018-06-25,123.8,124.78,123.425,124.61,6310299.0,0.3644,-0.0657,-0.4302,44.8851,-74.3728,14.5862,-3.56
2018-06-22,124.52,125.135,124.11,124.87,3965347.0,0.4719,0.0352,-0.4367,45.9199,-69.7133,12.9877,-2.74
2018-06-21,125.18,125.18,123.18,123.48,4600639.0,0.5811,0.1371,-0.444,38.9304,-94.6237,11.6407,-4.1
2018-06-20,125.49,125.71,124.665,125.36,3942662.0,0.6921,0.4068,-0.2854,46.474,-83.0281,10.1901,-1.46
2018-06-19,127.04,127.04,124.73,125.05,5816887.0,0.7634,0.5535,-0.2099,44.8373,-81.8985,9.5042,-0.9
2018-06-18,126.55,127.59,126.08,127.49,3892410.0,0.8159,0.7644,-0.0515,57.7413,-28.0353,8.8073,1.2
2018-06-15,126.97,127.37,125.5,126.91,7458821.0,0.8288,0.774,-0.0548,54.8747,-40.8389,8.9873,1.1
2018-06-14,127.34,127.735,126.29,126.94,3940082.0,0.8425,0.834,-0.0085,55.0541,-40.1766,8.9928,2.12
2018-06-13,127.94,128.16,126.84,126.94,2806499.0,0.8447,0.8954,0.0508,55.0541,-40.1766,9.5806,0.74
2018-06-12,128.62,128.76,127.35,127.85,2510786.0,0.832,0.9608,0.1288,60.2006,-20.0883,9.991,2.74
2018-06-11,127.55,128.61,127.54,128.17,3874082.0,0.7998,0.9376,0.1378,62.0961,-17.9167,10.0212,1.14
2018-06-08,126.93,127.69,126.755,127.61,2761772.0,0.7653,0.8618,0.0965,60.0522,-29.5833,9.9011,0.21
2018-06-07,126.83,127.67,126.82,127.58,2513457.0,0.7412,0.8095,0.0683,59.9448,-29.8354,10.3739,0.0
2018-06-06,126.57,126.82,125.85,126.82,2941589.0,0.7241,0.734,0.0099,57.2393,-42.2562,10.8365,-1.05
2018-06-05,126.03,126.83,125.14,125.95,2171259.0,0.7216,0.7044,-0.0172,53.9317,-58.891,11.4438,-2.1
2018-06-04,126.4,127.23,126.01,126.29,3218988.0,0.726,0.745,0.019,55.4893,-49.1921,12.0978,1.1
2018-06-01,125.94,126.55,125.28,125.81,2679927.0,0.7212,0.7512,0.03,53.7378,-57.8097,12.7152,1.2
