,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Signal,MACD_Hist,RSI,WILLR,ADX,MOM
2018-07-24,140.99,141.4725,139.51,140.03,8333135.0,2.0414,1.7763,0.2651,62.6196,-14.9598,20.7096,3.34
2018-07-23,140.66,140.97,139.64,140.03,7723617.0,2.0853,1.71,0.3753,62.6196,-14.3284,20.4337,4.51
2018-07-20,140.0,141.47,139.92,140.99,7156679.0,2.111,1.6162,0.4948,66.8036,-4.6512,20.4225,6.9
2018-07-19,140.95,140.99,139.93,140.13,7937007.0,2.0153,1.4925,0.5228,64.8499,-10.3792,20.1686,6.84
2018-07-18,139.91,141.17,139.37,140.9,7008550.0,1.9514,1.3618,0.5896,68.1863,-2.5674,20.1493,9.45
2018-07-17,138.18,139.91,137.42,139.64,5412609.0,1.763,1.2144,0.5486,65.4884,-4.1593,20.1285,7.14
2018-07-16,139.42,139.55,138.16,138.46,4970287.0,1.6253,1.0773,0.548,62.7407,-16.744,20.7714,6.01
2018-07-13,139.79,140.03,137.54,139.42,7866197.0,1.546,0.9402,0.6057,66.7558,-5.8095,20.9221,6.68
2018-07-12,139.01,139.95,138.66,139.9,11816114.0,1.3245,0.7888,0.5357,68.8,-0.4798,21.0844,8.88
2018-07-11,136.63,138.81,136.6,138.15,10648707.0,0.9738,0.6549,0.3189,65.1915,-7.1121,20.4404,5.6
2018-07-10,135.57,137.33,135.34,136.69,6561867.0,0.6901,0.5752,0.1149,61.7658,-8.2051,20.2488,5.76
2018-07-09,134.94,135.9689,134.79,135.52,8960741.0,0.4666,0.5464,-0.0799,58.7444,-16.3408,20.7866,0.19
2018-07-06,133.58,134.28,132.5,134.09,4839785.0,0.2936,0.5664,-0.2728,54.68,-36.3128,22.1668,-0.44
2018-07-05,132.13,133.33,131.83,133.29,4729298.0,0.2143,0.6346,-0.4203,52.2355,-47.486,22.891,-2.21
2018-07-03,133.01,133.41,131.42,131.45,3621640.0,0.1913,0.7397,-0.5484,46.0167,-73.1844,22.8773,-3.66
2018-07-02,131.96,133.05,131.15,132.5,7554385.0,0.3465,0.8768,-0.5303,49.4266,-58.5196,22.8624,-3.7
2018-06-29,133.28,134.19,132.45,132.45,7258961.0,0.4327,1.0093,-0.5767,49.2604,-59.2179,22.5547,-2.65
2018-06-28,131.0,133.12,130.6535,132.74,6576536.0,0.5415,1.1535,-0.612,50.1482,-55.1676,22.8717,-2.26
2018-06-27,133.01,133.657,131.01,131.02,7281166.0,0.6429,1.3065,-0.6636,44.6543,-79.1899,22.333,-3.38
2018-06-26,132.11,133.79,131.61,132.55,7733865.0,0.9382,1.4724,-0.5342,49.1262,-57.8212,21.919,-2.31
2018-06-25,134.91,134.91,129.53,130.93,10086236.0,1.1456,1.606,-0.4603,43.57,-80.4469,21.7545,-2.98
2018-06-22,135.6,135.85,134.26,135.33,6173350.0,1.5587,1.721,-0.1624,60.1338,-34.0852,21.5773,0.59
2018-06-21,135.27,136.115,134.26,134.53,8689806.0,1.6152,1.7616,-0.1464,57.3995,-41.0646,22.0261,0.69
2018-06-20,135.52,136.69,135.5,135.5,7191977.0,1.7453,1.7982,-0.0529,62.2029,-18.7994,22.5093,-0.78
2018-06-19,134.56,135.235,133.57,135.11,6557632.0,1.7873,1.8115,-0.0242,60.9839,-22.2727,21.8332,1.55
2018-06-18,134.37,136.31,134.12,136.2,8713298.0,1.8545,1.8175,0.037,66.5542,-5.6632,22.0117,3.13
2018-06-15,135.1,135.73,134.0,135.1,10044514.0,1.8024,1.8083,-0.0059,63.4235,-19.6809,21.6148,4.25
2018-06-14,134.96,135.7,134.75,135.0,6464068.0,1.8216,1.8097,0.0119,63.1321,-21.0106,21.5625,4.28
2018-06-13,135.18,135.77,134.31,134.4,4881581.0,1.8298,1.8068,0.023,61.4201,-28.9894,20.6839,3.76
2018-06-12,134.04,135.129,133.54,134.86,5743302.0,1.8748,1.801,0.0738,63.52,-22.8723,19.7376,5.17
2018-06-11,134.9,135.19,133.81,133.91,7988703.0,1.8581,1.7826,0.0755,60.9604,-35.5053,19.0736,2.63
2018-06-08,133.44,134.915,133.23,134.74,5260976.0,1.9065,1.7637,0.1428,64.6399,-24.4681,18.0851,2.85
2018-06-07,136.36,136.58,133.05,133.84,8309178.0,1.856,1.728,0.128,62.3519,-36.4362,17.1614,1.96
2018-06-06,134.0,136.31,133.61,136.28,8065764.0,1.8562,1.696,0.1602,74.4849,-0.4138,16.1666,5.57
2018-06-05,133.38,133.62,132.7,133.56,6198152.0,1.581,1.6559,-0.075,68.0492,-1.3158,14.5997,2.9
2018-06-04,131.94,133.57,131.43,133.07,7177958.0,1.4837,1.6747,-0.191,66.6417,-11.0865,14.2964,3.14
2018-06-01,131.84,132.51,130.36,130.85,8323370.0,1.3878,1.7224,-0.3346,59.0532,-48.1159,14.0007,0.92
2018-05-31,130.65,131.5817,129.98,130.72,11085956.0,1.4713,1.8061,-0.3347,58.5404,-51.7442,14.3572,-0.17
