,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,51.25,51.87,50.05,51.51,23263117.0,-0.0908,0.5251,0.6159,61.0801,-22.7513,21.2051,0.17
2018-07-23,50.69,50.98,50.27,50.75,11703183.0,-0.1249,0.5137,0.6386,54.5259,-71.2575,21.0954,0.01
2018-07-20,50.53,50.99,50.35,50.62,12321631.0,-0.1007,0.5692,0.6698,53.2762,-58.9286,22.2133,-0.86
2018-07-19,51.1,51.1,50.6,50.75,9524190.0,-0.0501,0.6449,0.695,54.6714,-53.125,23.2727,-0.53
2018-07-18,51.41,51.49,50.8828,51.14,11734924.0,0.0114,0.7189,0.7075,58.9737,-31.6206,23.9634,0.44
2018-07-17,51.54,51.94,51.42,51.43,10636127.0,0.0585,0.7632,0.7047,62.3622,-17.4061,24.1792,1.01
2018-07-16,51.36,51.715,51.13,51.59,9633440.0,0.0891,0.7792,0.69,64.2536,-5.8394,23.307,1.28
2018-07-13,51.1,51.45,50.925,51.41,11175610.0,0.1041,0.7719,0.6678,63.084,-12.4088,22.6074,0.55
2018-07-12,51.5,51.58,50.96,51.24,10583936.0,0.1279,0.7697,0.6417,61.9934,-17.5258,22.144,1.93
2018-07-11,51.22,51.75,51.15,51.34,14348077.0,0.1632,0.773,0.6098,63.0102,-12.1514,21.5769,2.04
2018-07-10,50.8,51.42,50.74,51.34,9614559.0,0.1868,0.7557,0.569,63.0102,-8.3117,20.6077,1.74
2018-07-09,51.03,51.11,50.6801,50.74,10491222.0,0.2005,0.7228,0.5223,59.5805,-22.2222,19.8758,0.98
2018-07-06,51.42,51.66,51.23,51.48,10203770.0,0.2591,0.7313,0.4722,66.6588,-3.9735,19.3929,2.85
2018-07-05,50.99,51.3,50.52,51.28,11279609.0,0.2487,0.6561,0.4074,65.6341,-0.4796,17.8714,3.19
2018-07-03,50.46,51.09,50.296,50.7,8441133.0,0.2259,0.5711,0.3452,62.5336,-9.8485,16.5461,2.2
2018-07-02,50.25,50.44,49.7,50.42,13141150.0,0.2245,0.5132,0.2887,60.9544,-16.0714,15.3066,2.96
2018-06-29,50.73,50.85,50.08,50.31,18023396.0,0.2278,0.4604,0.2326,60.3447,-18.8776,14.5997,2.25
2018-06-28,49.43,51.05,49.41,50.86,21605504.0,0.2219,0.3976,0.1757,65.0618,-4.8469,13.1639,3.04
2018-06-27,49.18,49.73,49.01,49.31,14144341.0,0.1354,0.2555,0.1202,56.0768,-25.0859,11.6175,1.91
2018-06-26,49.62,49.75,49.0748,49.3,13596951.0,0.142,0.2284,0.0863,56.0091,-25.4296,11.3251,0.49
2018-06-25,49.84,50.04,49.29,49.6,19301887.0,0.1406,0.1914,0.0508,58.5247,-15.1203,10.9005,0.3
2018-06-22,48.96,49.93,48.84,49.76,40979879.0,0.0952,0.1109,0.0157,59.8561,-6.0714,10.0878,0.58
2018-06-21,48.87,49.0,48.3759,48.63,14854566.0,-0.0018,-0.0098,-0.0081,52.8167,-43.8202,9.3281,-0.38
2018-06-20,48.64,48.66,47.81,48.09,11996803.0,-0.041,-0.0487,-0.0077,48.8356,-64.0449,9.5985,-0.32
2018-06-19,47.67,48.78,47.52,48.5,25069984.0,-0.0452,-0.0426,0.0026,51.9244,-48.6891,10.3213,0.53
2018-06-18,47.9,48.0,47.13,47.46,15330399.0,-0.0899,-0.0759,0.0139,43.5083,-87.6404,11.0999,-0.36
2018-06-15,47.77,48.06,47.62,48.06,31397975.0,-0.0479,-0.0115,0.0364,48.0109,-69.6,10.824,0.25
2018-06-14,47.76,47.89,47.3,47.82,17568389.0,-0.0385,0.0098,0.0483,45.9326,-79.2,11.1312,0.15
