,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,65.65,66.15,65.16,65.51,7542628.0,0.2123,0.3531,0.1409,55.5763,-20.4911,12.3912,2.31
2018-07-23,64.35,65.52,64.27,65.34,6965921.0,0.2261,0.3139,0.0878,54.8005,-22.9617,12.4695,1.61
2018-07-20,64.64,65.23,64.31,64.98,7554652.0,0.2452,0.2765,0.0313,53.1932,-24.0997,13.0098,1.68
2018-07-19,65.93,66.2,64.78,64.93,9823549.0,0.2915,0.2614,-0.03,52.9775,-23.5217,13.8058,2.55
2018-07-18,65.72,66.72,65.66,66.16,9201051.0,0.3464,0.2435,-0.1029,59.2092,-7.3203,14.297,5.4
2018-07-17,64.8,65.67,64.8,65.63,8412668.0,0.2813,0.0918,-0.1895,57.1945,-21.6249,14.1018,4.5
2018-07-16,65.14,65.4401,64.65,65.16,8619522.0,0.2107,-0.0491,-0.2598,55.3798,-27.2401,14.5796,5.145
2018-07-13,63.96,65.52,63.95,65.17,7760084.0,0.132,-0.1805,-0.3125,55.4262,-31.9955,15.2525,5.47
2018-07-12,64.14,65.43,63.61,63.88,11650227.0,-0.0011,-0.3465,-0.3455,50.4508,-47.7174,15.9772,-2.38
2018-07-11,63.06,63.87,62.181,63.66,9978801.0,-0.0769,-0.4221,-0.3452,49.5592,-53.1628,16.8127,-2.91
2018-07-10,63.25,63.7,62.7,63.2,9250528.0,-0.164,-0.49,-0.3259,47.7331,-57.8567,17.4819,-4.04
2018-07-09,63.12,64.3,63.1,63.73,7513024.0,-0.2378,-0.5227,-0.2849,49.6564,-52.4485,18.5207,-3.88
2018-07-06,62.36,64.1,62.3,63.3,9740974.0,-0.3853,-0.6108,-0.2255,48.0804,-56.8363,19.8852,-4.49
2018-07-05,61.15,62.545,60.815,62.38,12472981.0,-0.5414,-0.6705,-0.1292,44.6371,-66.2241,21.2331,-5.62
2018-07-03,61.45,61.77,60.71,60.76,5602311.0,-0.6496,-0.6434,0.0062,37.9033,-82.7549,21.6782,-3.85
2018-07-02,59.68,61.27,59.5,61.13,11309695.0,-0.603,-0.4345,0.1686,38.907,-78.9794,21.5994,-3.02
2018-06-29,59.81,60.28,59.11,60.015,15725724.0,-0.5184,-0.1991,0.3193,34.0182,-90.357,21.1451,-5.785
2018-06-28,60.39,61.0,59.07,59.7,40465735.0,-0.2312,0.2177,0.4489,32.6034,-93.5714,19.8954,-5.17
2018-06-27,66.44,67.44,65.87,66.26,6327482.0,0.2719,0.7786,0.5067,55.6991,-44.2363,18.5496,2.35
2018-06-26,67.19,67.44,65.42,66.57,8473030.0,0.3765,0.8152,0.4387,57.486,-38.982,18.7638,2.87
2018-06-25,67.35,68.04,66.35,67.24,17147782.0,0.474,0.8186,0.3446,61.4419,-26.546,18.9944,3.18
2018-06-22,67.84,68.27,67.465,67.61,10441265.0,0.5166,0.7428,0.2261,63.6894,-19.5944,18.2519,4.21
2018-06-21,68.5,68.8699,66.92,67.79,8303558.0,0.5005,0.5975,0.097,64.7595,-16.795,16.0533,4.19
2018-06-20,66.72,68.26,65.63,68.0,13923877.0,0.4132,0.3851,-0.0281,65.9601,-4.2553,13.6856,4.85
2018-06-19,63.69,64.76,63.67,64.61,5534293.0,0.2184,0.0869,-0.1314,52.8598,-32.7027,11.4279,1.72
2018-06-18,65.45,65.55,63.88,64.15,4933411.0,0.2364,0.0503,-0.186,50.4574,-45.1351,11.6903,0.85
2018-06-15,65.0,65.82,64.57,65.8,10733576.0,0.2948,0.0497,-0.2451,60.7733,-0.5405,11.6781,2.94
2018-06-14,64.11,65.0,63.9,64.87,5645570.0,0.199,-0.1198,-0.3188,56.0729,-4.5139,10.6212,2.48
2018-06-13,63.31,64.43,63.31,63.91,5571777.0,0.1288,-0.2398,-0.3686,50.373,-22.5108,10.3698,0.37
