,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,88.12,88.495,87.6132,87.96,5588944.0,0.8655,0.1237,0.7419,60.9434,-22.905,27.758,0.75
2018-07-23,87.65,88.15,87.375,87.63,4149954.0,0.8673,0.1564,0.7109,59.1987,-29.0503,27.0672,1.7
2018-07-20,87.4,88.17,87.2,88.06,4821730.0,0.8905,0.2187,0.6718,62.5811,-19.5164,26.5808,3.55
2018-07-19,87.86,88.48,87.41,87.72,4883093.0,0.8634,0.2463,0.6172,60.9426,-25.3886,26.057,3.15
2018-07-18,88.33,89.19,87.9439,88.07,5045531.0,0.8509,0.2953,0.5556,63.6049,-19.3437,25.1998,3.63
2018-07-17,87.4,88.7,87.4,88.19,5911529.0,0.7869,0.3051,0.4818,64.5019,-9.6226,23.5133,4.19
2018-07-16,87.62,87.72,86.83,87.64,4447219.0,0.6816,0.2761,0.4055,62.2351,-7.6253,21.9642,1.99
2018-07-13,86.52,87.99,86.5,87.7,6394443.0,0.5932,0.2567,0.3365,62.6403,-6.3181,20.8982,1.84
2018-07-12,86.94,87.41,86.22,86.52,4889002.0,0.4657,0.1934,0.2723,57.5988,-23.7164,19.7502,-0.37
2018-07-11,87.06,87.15,86.39,86.53,5595886.0,0.4163,0.1923,0.224,57.66,-20.8923,18.8907,0.55
2018-07-10,85.93,87.33,85.88,87.21,6048406.0,0.3461,0.1703,0.1759,61.8089,-6.0936,18.1393,0.74
2018-07-09,85.0,86.47,84.77,85.93,6575426.0,0.1824,0.049,0.1333,56.3147,-30.4687,17.3301,1.11
2018-07-06,84.2,84.865,83.82,84.51,5623594.0,0.101,-0.0201,0.121,48.7143,-58.2031,17.0251,0.3
2018-07-05,84.94,85.58,84.2656,84.57,5367491.0,0.1402,0.0142,0.1261,49.0492,-57.0313,18.0156,0.96
2018-07-03,84.09,85.05,84.09,84.44,4396238.0,0.1822,0.0597,0.1225,48.3347,-59.5703,18.6056,0.83
2018-07-02,85.65,85.94,83.4,84.0,8125148.0,0.2463,0.1387,0.1076,45.953,-68.1641,19.7261,1.0
2018-06-29,85.9,86.2,85.52,85.65,8260329.0,0.3694,0.2965,0.0729,54.7403,-35.9375,20.9328,1.95
2018-06-28,86.85,87.29,85.685,85.86,8466965.0,0.3531,0.3543,-0.0012,56.0059,-31.8359,19.6687,2.07
2018-06-27,85.9,87.49,85.55,86.89,10299382.0,0.3058,0.3956,-0.0898,62.5979,-11.7187,18.057,2.8
2018-06-26,86.53,87.05,85.76,85.98,10126155.0,0.1361,0.3248,-0.1887,58.6003,-22.8632,16.3213,1.88
2018-06-25,84.59,86.6,84.48,86.47,15939481.0,0.0102,0.28,-0.2698,61.9087,-3.0733,14.7153,2.17
2018-06-22,84.46,84.85,84.1,84.82,11005783.0,-0.2006,0.1393,-0.3398,53.7429,-27.7286,13.2655,0.46
2018-06-21,83.4,84.55,82.895,84.21,8091999.0,-0.2987,0.076,-0.3747,50.0682,-45.7227,13.0552,-0.74
2018-06-20,83.71,83.82,83.16,83.61,7966579.0,-0.3574,0.0363,-0.3937,46.1619,-63.4218,13.1125,-0.95
2018-06-19,82.6,83.62,82.37,83.61,9352518.0,-0.3661,0.0366,-0.4027,46.1619,-63.4218,13.9176,-1.01
2018-06-18,83.05,83.57,82.82,83.0,8502338.0,-0.3719,0.04,-0.4119,42.1979,-78.8571,14.9758,-2.42
2018-06-15,83.5,83.99,83.06,83.7,12503000.0,-0.3117,0.1102,-0.4219,45.7905,-52.1506,15.6477,0.71
2018-06-14,84.22,84.81,83.67,83.79,7517427.0,-0.3017,0.1478,-0.4494,46.2607,-49.8722,16.1033,1.25
2018-06-13,83.89,84.37,83.8515,84.09,6358420.0,-0.2936,0.1928,-0.4864,47.7793,-41.9598,15.8858,-0.03
2018-06-12,84.32,84.59,83.47,84.1,8061710.0,-0.3096,0.225,-0.5346,47.8279,-41.7085,16.0228,1.7
2018-06-11,84.41,84.54,83.79,84.3,6252274.0,-0.3266,0.2642,-0.5908,48.7487,-36.6834,16.1703,1.84
2018-06-08,84.78,85.1899,84.14,84.36,7602411.0,-0.3638,0.2931,-0.6569,49.0116,-35.1759,15.9888,1.51
2018-06-07,84.78,85.76,84.69,84.95,7705710.0,-0.4122,0.318,-0.7301,51.5497,-20.3518,15.4194,1.94
2018-06-06,84.95,85.1473,84.35,84.56,7362807.0,-0.528,0.2817,-0.8096,49.9591,-52.1515,14.202,1.19
2018-06-05,85.45,85.47,84.25,84.62,8281419.0,-0.6284,0.2517,-0.8801,50.1945,-51.1188,13.2637,0.11
2018-06-04,83.5,85.52,83.3,85.42,10921966.0,-0.7535,0.1895,-0.943,53.3043,-37.3494,12.2532,1.78
