,1. open,2. high,3. low,4. close,5. volume,MACD_Hist,MACD,MACD_Signal,RSI,WILLR,ADX,MOM
2018-07-24,81.52,83.02,81.48,83.01,11102193.0,-0.1004,0.2317,0.3321,56.4875,-37.7551,8.2528,-0.65
2018-07-23,81.95,82.0,81.18,81.4,8425921.0,-0.1866,0.1706,0.3572,46.4768,-92.517,8.3257,-1.5
2018-07-20,81.72,81.9332,81.25,81.4,9209376.0,-0.1497,0.2542,0.4039,46.4768,-94.7735,8.5547,-0.93
2018-07-19,82.2,82.62,81.72,82.01,8659127.0,-0.0842,0.357,0.4413,50.2539,-75.3571,8.8652,-0.3
2018-07-18,81.8,82.32,81.49,82.22,8711884.0,-0.0413,0.4211,0.4623,51.5943,-61.4887,9.4697,-0.02
2018-07-17,82.26,82.75,82.04,82.31,7373347.0,0.0026,0.4753,0.4727,52.1478,-58.5761,10.0051,0.55
2018-07-16,82.52,82.79,82.0,82.49,8307109.0,0.0564,0.5284,0.472,53.2079,-39.2771,10.485,-0.24
2018-07-13,82.68,83.75,82.56,83.31,8721525.0,0.1123,0.5702,0.4579,58.214,-16.805,11.0018,1.34
2018-07-12,83.01,83.24,82.31,82.69,9762532.0,0.102,0.5318,0.4298,55.2585,-29.668,11.0804,0.98
2018-07-11,83.03,83.53,82.025,82.59,10405268.0,0.1338,0.5381,0.4043,54.7795,-31.7427,11.5344,1.95
2018-07-10,83.7,84.12,83.51,83.66,8806167.0,0.1777,0.5485,0.3709,61.3004,-9.5436,12.0233,3.92
2018-07-09,82.81,83.125,82.555,82.9,7158596.0,0.1185,0.4449,0.3264,58.0031,-15.0943,11.2985,1.52
2018-07-06,81.96,82.7,81.66,82.33,7637116.0,0.0868,0.3836,0.2968,55.354,-28.5377,11.1614,2.64
2018-07-05,82.59,82.77,82.05,82.31,9035873.0,0.0826,0.3578,0.2751,55.2621,-29.0094,11.3085,1.86
2018-07-03,82.58,83.45,82.08,82.24,7197258.0,0.0672,0.3216,0.2545,54.9606,-30.6604,11.1389,1.54
2018-07-02,81.89,82.13,81.32,81.76,9998318.0,0.0403,0.278,0.2377,52.9416,-41.9811,10.9317,0.94
2018-06-29,82.45,83.54,82.29,82.73,17323207.0,0.0394,0.2671,0.2276,57.804,-22.9213,11.5636,2.07
2018-06-28,81.73,82.07,81.03,81.97,9390654.0,-0.0673,0.1505,0.2178,54.7825,-40.5345,11.4816,0.08
2018-06-27,81.06,82.48,81.06,81.71,12724265.0,-0.1577,0.0769,0.2346,53.73,-46.3252,12.2803,0.2
2018-06-26,80.15,81.0146,79.97,80.64,10382781.0,-0.2657,0.0083,0.274,49.2125,-70.1559,13.1631,-1.78
2018-06-25,80.78,81.24,79.3,79.74,10557249.0,-0.3108,0.0296,0.3404,45.0199,-90.2004,12.8989,-3.36
2018-06-22,81.16,81.9401,80.92,81.38,16707364.0,-0.2701,0.148,0.4181,52.3294,-53.9754,12.6143,-2.22
2018-06-21,80.02,80.38,79.325,79.69,10990663.0,-0.3556,0.13,0.4856,43.561,-91.8253,13.4344,-3.19
2018-06-20,80.85,81.13,80.27,80.45,8917708.0,-0.2974,0.2772,0.5745,47.1852,-81.8627,12.8567,-1.61
2018-06-19,79.89,80.9601,79.71,80.7,8759708.0,-0.2653,0.3836,0.6489,48.4156,-75.7353,12.9463,0.02
2018-06-18,80.4,81.38,80.3,80.82,9192567.0,-0.2268,0.4884,0.7152,48.985,-64.9891,12.8715,-0.15
2018-06-15,81.72,81.82,80.51,80.66,23797456.0,-0.1691,0.6028,0.7719,48.2313,-50.0,13.2457,-1.17
