,index,1. open,2. high,3. low,4. close,5. volume,MACD,MACD_Hist,MACD_Signal,RSI,WILLR,ADX,MOM
0,898.0,114.41,114.85,111.54,111.95,44565318.0,1.4069,-0.9281,2.335,47.2179,-75.0,34.4887,-5.65
1,533.0,97.22,98.09,96.84,97.9,35140174.0,-1.8157,0.9119,-2.7275,52.7154,-2.2042,34.4051,4.48
2,670.0,121.85,122.69,120.18,120.92,39552680.0,2.4356,0.742,1.6936,61.3683,-21.1524,25.2167,5.42
3,44.0,175.88,177.5,174.4411,176.89,34068180.0,-0.3228,0.8147,-1.1375,59.8794,-11.1791,18.6655,4.09
4,2512.0,172.3,173.74,166.39,169.64,37144400.0,-1.4869,0.0347,-1.5216,44.4728,-66.64699999999999,16.6697,2.2
5,216.0,159.65,160.56,159.27,159.86,25015218.0,2.2406,-0.2085,2.4492,59.3155,-33.6294,19.1315,2.38
6,172.0,159.29,163.6,158.7,163.05,43904150.0,0.6412,0.4478,0.1934,65.9837,-6.4103,13.555,6.06
7,4330.0,25.55,25.75,23.6,25.72,33458400.0,0.6705,0.2617,0.4088,65.9039,-0.4286,18.145,6.22
8,4039.0,17.17,17.6,16.85,17.11,7082800.0,-1.5052,-0.4517,-1.0534,23.0778,-96.0606,33.3324,-5.05
9,2736.0,133.09,133.34,129.76,131.07,30958500.0,-1.5229,0.0568,-1.5797,52.1625,-24.0827,26.8532,4.68
10,2387.0,90.46,90.99,87.55,88.66,22061300.0,-0.8358,0.4662,-1.3019999999999998,45.9558,-67.4326,15.665,2.85
11,4296.0,20.71,21.7,20.45,21.66,5806800.0,-0.7201,-0.1722,-0.5479,45.8421,-51.1387,17.5984,-1.57
12,1477.0,670.82,674.88,650.33,656.062,29025700.0,14.5724,3.8502,10.7222,70.873,-25.2151,30.5355,35.148
13,3085.0,62.11,62.22,61.05,61.17,33283000.0,-1.7873,0.2619,-2.0492,40.0645,-62.0802,28.0047,-0.64
14,2907.0,89.02,89.22,87.33,87.72,26426400.0,1.2584,-0.6949,1.9534,51.8315,-71.2598,35.9326,-3.6
15,4588.0,131.69,132.75,124.75,125.0,1895200.0,2.0573,-1.6046,3.6618,47.7281,-75.4683,16.6863,-14.56
16,3789.0,18.45,19.48,18.309,19.12,8124700.0,0.3685,0.027000000000000003,0.3416,66.2506,-12.6316,26.5416,1.52
17,293.0,149.03,153.7,149.03,153.01,48339210.0,2.1867,0.6979,1.4888,79.1612,-5.2075,28.2837,9.37
18,880.0,107.2,108.2,106.695,107.75,40105934.0,-1.0487,-0.6677,-0.381,41.1443,-69.2308,26.7567,-5.19
19,3926.0,15.79,15.88,15.42,15.5,2561300.0,0.0953,-0.0863,0.1815,48.5435,-65.7343,14.6594,-0.8
20,3563.0,26.4,27.19,26.4,27.14,5449500.0,-0.1007,-0.0801,-0.0207,52.6244,-38.6617,17.2008,0.2
21,3168.0,72.09,72.74,70.7,72.63,31991500.0,3.6612,0.4436,3.2176,78.5356,-0.9298,39.8482,8.11
22,1110.0,521.38,522.9299,517.38,519.68,13224300.0,-10.0501,-1.2669,-8.7832,44.7115,-59.0053,26.432,-26.39
23,2060.0,269.31,270.57,261.0,261.09,19373700.0,9.7831,0.2951,9.488,63.0519,-36.2679,48.0591,13.69
24,1178.0,519.61,527.52,517.02,524.896,12648700.0,11.4089,1.4678,9.9411,62.6639,-26.5373,23.0712,23.781999999999996
25,3481.0,35.7,36.57,35.68,36.35,6134400.0,1.2454,0.3677,0.8777,69.6757,-3.5427,40.4974,4.4
26,2386.0,88.24,89.7399,86.35,87.71,28514200.0,-0.9778,0.2594,-1.2372,44.6126,-74.9604,14.6927,1.1
27,2050.0,255.165,256.48,249.5,253.82,27120100.0,3.5967,-1.6687,5.2654,51.14,-36.9268,33.3792,-7.27
28,516.0,96.62,96.65,95.3,95.33,61008219.0,-0.252,-0.1631,-0.08900000000000001,39.1495,-99.5448,18.0916,-2.59
29,1179.0,536.27,539.25,514.54,516.678,22707400.0,11.5011,1.9269999999999998,9.5742,58.6897,-41.7304,23.0117,17.998
30,4135.0,24.96,24.96,24.34,24.41,7112600.0,0.6786,0.2139,0.4647,63.5875,-12.3318,24.965999999999998,1.93
31,3881.0,14.71,14.93,14.45,14.45,3957400.0,-0.0549,0.0576,-0.1125,49.3338,-41.0596,11.8963,0.57
32,3225.0,51.02,51.29,50.32,50.82,17603000.0,1.8214,0.3561,1.4653,72.8682,-12.7159,46.2104,4.98
33,653.0,118.75,118.81,116.86,117.34,34852374.0,0.5285,-0.0962,0.6247,50.7078,-28.9238,13.7919,3.165
34,4178.0,20.6,20.7,20.19,20.42,3620800.0,0.6751,0.0782,0.5969,59.1898,-31.4763,16.3531,0.81
35,220.0,157.5,157.89,155.1101,157.21,26145653.0,2.4274,-0.2072,2.6345,54.9339,-67.2589,21.701,-1.6
36,4292.0,21.42,21.73,20.06,20.47,9133700.0,-0.7707,-0.1017,-0.669,40.6791,-70.75,16.3211,0.69
37,1222.0,486.0,495.8,486.0,490.89599999999996,10986000.0,14.4814,-1.5163,15.9976,60.1546,-38.0163,38.6638,-7.604
38,4224.0,16.14,16.22,15.35,15.54,6685800.0,-0.8467,-0.1327,-0.7140000000000001,35.0217,-80.4545,26.5799,-3.01
39,1702.0,401.92,402.21,386.21,390.57,23253100.0,5.6125,-1.0319,6.6443,49.215,-63.3634,12.5066,-2.39
40,1476.0,654.42,669.0,648.11,668.87,20190100.0,16.1135,4.313,11.8005,74.6978,-9.4915,32.4255,49.01
41,3581.0,29.0,29.58,28.16,29.3,31454400.0,0.6939,-0.0285,0.7224,64.3907,-8.5627,31.7193,2.26
42,2509.0,168.21,169.65,165.0,165.15,31014800.0,-1.9795,-0.3895,-1.59,40.9214,-93.1993,16.449,-4.97
43,885.0,113.64,113.92,112.11,112.52,29881477.0,0.2416,0.0385,0.2031,50.9492,-27.1246,22.8612,4.295
44,3426.0,61.69,65.2,61.55,64.05,24835500.0,3.7953,0.3878,3.4075,88.5875,-8.7386,58.466,9.3
45,3286.0,37.19,38.08,36.82,37.98,19559800.0,-0.3737,-0.1044,-0.2693,51.0289,-53.3207,23.1859,-2.06
46,1120.0,554.0,555.62,544.75,546.07,15334100.0,0.3483,0.2191,0.1293,48.8159,-46.6029,16.6686,9.551
47,3511.0,31.75,32.75,31.57,32.43,7589400.0,0.2764,0.004,0.2724,57.5144,-24.5399,23.5127,3.21
48,2475.0,158.59,162.4,157.65,160.18,28103000.0,-1.2156,-1.682,0.4664,36.9532,-87.4504,18.6433,-14.11
49,550.0,93.99,94.72,92.51,93.74,68531478.0,-2.1484,-1.9418,-0.2066,21.5481,-93.8129,34.3362,-16.11
50,641.0,112.02,112.25,108.98,108.98,44772827.0,-1.5197,-0.9402,-0.5795,33.6492,-98.3725,20.7548,-6.22
51,140.0,172.5,173.54,172.0,172.27,23142242.0,0.9406,-0.3578,1.2984,56.4166,-35.7301,16.2351,2.79
52,2657.0,190.37,200.0,189.54,190.39,24082600.0,5.1885,0.9056,4.283,60.1637,-32.044000000000004,22.1045,8.17
53,3585.0,27.9,28.0,27.2,27.53,4302100.0,0.7609,-0.0395,0.8004,58.4553,-26.6667,34.1567,0.66
54,1053.0,592.0,594.8,586.36,591.48,8716000.0,14.9815,7.5437,7.4378,74.7661,-9.0238,28.3899,72.47
55,2049.0,254.7,256.18,247.71,254.22,27244100.0,3.1726,-1.6743,4.8468,51.4173,-36.045,32.8726,-12.13
56,4527.0,52.59,54.81,52.13,54.44,4707200.0,-11.7236,-0.4527,-11.2709,33.5042,-91.1434,37.7194,0.69
57,2521.0,164.05,174.72,164.0,174.68,39688600.0,-2.3728,-1.0247,-1.348,48.0122,-42.5806,25.4513,-6.75
58,225.0,159.32,160.21,158.75,159.85,21754810.0,2.8507,0.47100000000000003,2.3797,63.2521,-13.627,24.266,11.12
59,1463.0,665.11,670.1,656.5,660.59,17999400.0,12.8516,-2.4308,15.2824,54.9635,-64.5253,32.0978,-15.09
60,3658.0,19.94,19.95,19.6,19.81,5508900.0,-0.4867,-0.0473,-0.4394,38.7626,-75.0,18.8402,-0.64
61,408.0,109.72,110.54,109.66,110.06,28428917.0,-1.3757,-0.1214,-1.2543,45.8959,-38.2869,33.6868,1.22
62,2233.0,167.65,169.37,166.8,169.22,14859800.0,4.1891,-0.5792,4.7683,65.5618,-1.5075,35.4745,3.71
63,2861.0,89.84,90.0,87.61,88.65,21994600.0,0.3689,0.5655,-0.1965,56.8999,-27.1698,19.2043,5.38
64,498.0,97.39,98.99,97.32,98.79,38918997.0,0.1123,0.4581,-0.3458,60.2711,-2.6702,14.0842,4.39
65,164.0,174.66,176.24,174.33,176.24,24409527.0,4.6674,1.6693,2.998,78.3279,0.0,28.1775,19.83
66,547.0,95.2,95.9,93.82,94.19,41025475.0,-3.2056,-1.6429,-1.5627,26.2657,-91.005,37.8523,-12.94
67,2127.0,202.51,204.7,200.19,203.075,38060700.0,0.9118,-1.4233,2.3351,46.7678,-67.9056,17.83,-8.905
68,404.0,111.13,111.87,110.95,111.79,11475922.0,-0.6083,0.3804,-0.9887,51.7199,-7.553999999999999,29.4471,4.0
69,1275.0,432.5,437.14,428.75,435.965,10208300.0,-0.5372,-1.7528,1.2156,45.7525,-74.5503,13.7221,-15.615
70,1752.0,396.12,396.27,386.0,386.9,33619300.0,11.0166,3.8673,7.1493,79.2481,-14.7722,28.7121,35.14
71,2143.0,208.83,212.0,208.31,211.64,14717300.0,3.1167,1.8484,1.2683,65.773,-10.0654,18.9959,17.47
72,3769.0,20.19,20.95,20.13,20.9,13414500.0,0.5743,0.0339,0.5404,68.2895,-2.0243,31.6626,1.63
73,2527.0,174.78,175.88,171.56,173.16,23063600.0,-0.7824,-1.4161,0.6337,42.9516,-68.1412,23.5132,-8.45
74,2904.0,86.47,86.67,84.74,84.76,20274700.0,0.41700000000000004,-0.8982,1.3152,43.7328,-86.9116,34.0409,-5.07
75,3723.0,22.18,22.5,21.92,22.08,3211100.0,0.4108,-0.1005,0.5113,51.5239,-84.6416,31.3354,-0.66
76,1414.0,564.25,567.37,556.6,561.7,13321500.0,-21.9062,2.9065,-24.8126,42.6468,-38.6514,48.4306,3.6981
77,1879.0,329.52,344.7625,326.0,340.65,67178500.0,6.9586,1.006,5.9526,63.9829,-28.8185,33.8432,11.08
78,271.0,155.25,155.54,154.4,154.99,20771367.0,1.7709,-0.2445,2.0154,61.0919,-26.3298,22.4125,1.65
