Date,Open,High,Low,Close,Volume,Sentiment,Label,,Date,Sentiment
6/29/18,186.29,187.19,182.91,185.11,22737666,1.313,1,,6/29/18,1.313
6/28/18,184.1,186.21,183.8,185.5,17365235,0.409,1,,6/28/18,0.409
6/27/18,185.2278,187.28,184.03,184.16,25285328,1.13,0,,6/27/18,1.13
6/26/18,182.99,186.53,182.54,184.43,24569201,1.341,1,,6/26/18,1.341
6/25/18,183.4,184.92,180.73,182.17,31663096,0.804,0,,6/25/18,0.804
6/22/18,186.12,186.15,184.7,184.92,27200447,1.75,1,,6/24/18,1.75
6/21/18,187.25,188.35,184.94,185.46,25711898,2.222,1,,6/23/18,2.222
6/20/18,186.35,187.2,185.73,186.5,20628701,0.333,1,,6/22/18,0.333
6/19/18,185.14,186.33,183.45,185.69,33578455,1.321,0,,6/21/18,1.321
6/18/18,187.88,189.22,187.2,188.74,18484865,0.738,1,,6/20/18,0.738
6/15/18,190.03,190.16,188.26,188.84,61719160,0.623,0,,6/19/18,0.623
6/14/18,191.55,191.57,190.22,190.8,21610074,1.508,1,,6/18/18,1.508
6/13/18,192.42,192.88,190.44,190.7,21638393,1.75,0,,6/17/18,1.75
6/12/18,191.385,192.611,191.15,192.28,16911141,1.556,1,,6/16/18,1.556
6/11/18,191.35,191.97,190.21,191.23,18308460,1.121,0,,6/15/18,1.121
6/8/18,191.17,192,189.77,191.7,26656799,0.231,0,,6/14/18,0.231
6/7/18,194.14,194.2,192.335,193.46,21347180,1.056,1,,6/13/18,1.056
6/6/18,193.63,194.08,191.92,193.98,20933619,1.654,1,,6/12/18,1.654
6/5/18,193.065,193.94,192.36,193.31,21565963,0.469,0,,6/11/18,0.469
6/4/18,191.635,193.42,191.35,191.83,26266174,1.333,0,,6/10/18,1.333
6/1/18,187.9912,190.26,187.75,190.24,23442510,1.6,1,,6/9/18,1.6
5/31/18,187.22,188.23,186.14,186.87,27482793,-1.09,0,,6/8/18,-1.09
5/30/18,187.72,188,186.78,187.5,18690547,1.273,1,,6/7/18,1.273
5/29/18,187.6,188.75,186.87,187.9,22514075,0.774,0,,6/6/18,0.774
5/25/18,188.23,189.65,187.65,188.58,17460963,1.45,1,,6/5/18,1.45
5/24/18,188.77,188.84,186.21,188.15,23233975,2.193,0,,6/4/18,2.193
5/23/18,186.35,188.5,185.76,188.36,20058415,2.308,1,,6/3/18,2.308
5/22/18,188.375,188.88,186.78,187.16,15240704,2.833,1,,6/2/18,2.833
5/21/18,188,189.27,186.9106,187.63,18400787,1.725,0,,6/1/18,1.725
5/18/18,187.19,187.8102,186.13,186.31,18297728,1.333,1,,5/31/18,1.333
